city,area,gender,total,total_age1,age_0,age_1,age_2,age_3,age_4,total_age2,age_5,age_6,age_7,age_8,age_9,total_age3,age_10,age_11,age_12,age_13,age_14,total_age4,age_15,age_16,age_17,age_18,age_19,total_age5,age_20,age_21,age_22,age_23,age_24,total_age6,age_25,age_26,age_27,age_28,age_29,total_age7,age_30,age_31,age_32,age_33,age_34,total_age8,age35,age_36,age_37,age_38,age_39,total_age9,age_40,age_41,age_42,age_43,age_44,total_age10,age45,age_46,age_47,age_48,age_49,total_age11,age_50,age_51,age_52,age_53,age_54,total_age12,age55,age_56,age_57,age_58,age_59,total_age13,age_60,age_61,age_62,age_63,age_64,total_age14,age65,age_66,age_67,age_68,age_69,total_age15,age_70,age_71,age_72,age_73,age_74,total_age16,age75,age_76,age_77,age_78,age_79,total_age17,age_80,age_81,age_82,age_83,age_84,total_age18,age85,age_86,age_87,age_88,age_89,total_age19,age_90,age_91,age_92,age_93,age_94,total_age20,age95,age_96,age_97,age_98,age_99,total_age21
新竹市,總　計,計,"447,081","24,671","3,830","4,544","4,898","5,463","5,936","27,171","5,454","6,250","5,788","4,662","5,017","25,233","5,107","5,316","5,010","4,871","4,929","26,487","4,819","5,140","5,173","5,916","5,439","27,496","5,047","5,529","5,745","5,714","5,461","27,601","5,534","5,554","5,346","5,610","5,557","29,795","5,800","5,590","5,549","6,048","6,808","41,748","7,464","7,925","8,526","8,908","8,925","41,038","8,777","8,180","8,875","7,780","7,426","34,837","6,912","6,882","7,033","7,036","6,974","31,782","6,826","6,370","6,110","6,256","6,220","29,225","6,139","6,092","5,820","5,606","5,568","25,425","5,644","5,013","4,876","4,927","4,965","20,456","4,614","4,306","4,380","3,828","3,328","11,968","3,178","2,603","2,505","1,678","2,004","9,428","2,039","2,007","1,883","1,808","1,691","6,332","1,559","1,357","1,260","1,090","1,066","3,917",897,861,764,732,663,"1,914",542,456,371,303,242,488,187,127,74,61,39,69
新竹市,總　計,男,"220,447","12,677","1,930","2,346","2,511","2,789","3,101","14,083","2,817","3,219","3,026","2,427","2,594","13,288","2,738","2,857","2,580","2,551","2,562","13,733","2,494","2,702","2,685","3,056","2,796","14,268","2,687","2,847","2,982","2,945","2,807","14,211","2,792","2,882","2,776","2,930","2,831","14,713","2,952","2,805","2,759","2,957","3,240","19,969","3,584","3,823","4,088","4,249","4,225","19,902","4,239","3,912","4,338","3,793","3,620","17,122","3,483","3,350","3,403","3,492","3,394","15,782","3,352","3,190","3,027","3,100","3,113","14,331","3,065","3,001","2,866","2,723","2,676","12,071","2,730","2,453","2,221","2,342","2,325","9,548","2,205","2,012","2,019","1,794","1,518","5,405","1,441","1,212","1,152",745,855,"3,934",870,858,793,728,685,"2,511",624,532,520,421,414,"1,704",360,363,355,327,299,938,250,221,189,159,119,225,85,57,34,28,21,32
新竹市,總　計,女,"226,634","11,994","1,900","2,198","2,387","2,674","2,835","13,088","2,637","3,031","2,762","2,235","2,423","11,945","2,369","2,459","2,430","2,320","2,367","12,754","2,325","2,438","2,488","2,860","2,643","13,228","2,360","2,682","2,763","2,769","2,654","13,390","2,742","2,672","2,570","2,680","2,726","15,082","2,848","2,785","2,790","3,091","3,568","21,779","3,880","4,102","4,438","4,659","4,700","21,136","4,538","4,268","4,537","3,987","3,806","17,715","3,429","3,532","3,630","3,544","3,580","16,000","3,474","3,180","3,083","3,156","3,107","14,894","3,074","3,091","2,954","2,883","2,892","13,354","2,914","2,560","2,655","2,585","2,640","10,908","2,409","2,294","2,361","2,034","1,810","6,563","1,737","1,391","1,353",933,"1,149","5,494","1,169","1,149","1,090","1,080","1,006","3,821",935,825,740,669,652,"2,213",537,498,409,405,364,976,292,235,182,144,123,263,102,70,40,33,18,37
新竹市,東區,計,"216,755","12,973","1,930","2,293","2,564","2,942","3,244","15,740","3,030","3,545","3,337","2,798","3,030","14,887","3,095","3,230","3,116","2,757","2,689","13,190","2,533","2,576","2,553","2,903","2,625","12,473","2,360","2,553","2,630","2,525","2,405","12,236","2,496","2,461","2,325","2,477","2,477","13,634","2,629","2,538","2,554","2,775","3,138","20,037","3,473","3,723","4,115","4,307","4,419","20,592","4,341","4,086","4,485","3,974","3,706","16,813","3,353","3,360","3,419","3,394","3,287","14,727","3,248","2,920","2,835","2,857","2,867","13,055","2,818","2,702","2,579","2,524","2,432","11,402","2,554","2,246","2,203","2,201","2,198","9,114","1,990","1,930","1,960","1,732","1,502","5,407","1,448","1,163","1,141",769,886,"4,333",928,921,857,838,789,"3,051",754,654,625,505,513,"1,872",421,420,365,345,321,930,266,226,166,153,119,251,86,66,44,33,22,38
新竹市,東區,男,"106,463","6,663",959,"1,169","1,315","1,507","1,713","8,162","1,561","1,830","1,742","1,457","1,572","7,863","1,652","1,762","1,606","1,438","1,405","6,771","1,304","1,330","1,300","1,486","1,351","6,476","1,264","1,303","1,366","1,316","1,227","6,299","1,289","1,258","1,187","1,311","1,254","6,623","1,349","1,242","1,263","1,325","1,444","9,421","1,656","1,783","1,955","1,989","2,038","9,685","1,960","1,898","2,135","1,924","1,768","8,175","1,682","1,620","1,608","1,670","1,595","7,360","1,639","1,488","1,388","1,402","1,443","6,484","1,409","1,322","1,281","1,268","1,204","5,435","1,237","1,087","1,031","1,046","1,034","4,266",962,935,905,794,670,"2,405",633,531,516,340,385,"1,780",377,387,344,326,346,"1,188",287,265,240,185,211,819,168,175,180,155,141,451,119,110,82,79,61,116,37,33,20,13,13,21
新竹市,東區,女,"110,292","6,310",971,"1,124","1,249","1,435","1,531","7,578","1,469","1,715","1,595","1,341","1,458","7,024","1,443","1,468","1,510","1,319","1,284","6,419","1,229","1,246","1,253","1,417","1,274","5,997","1,096","1,250","1,264","1,209","1,178","5,937","1,207","1,203","1,138","1,166","1,223","7,011","1,280","1,296","1,291","1,450","1,694","10,616","1,817","1,940","2,160","2,318","2,381","10,907","2,381","2,188","2,350","2,050","1,938","8,638","1,671","1,740","1,811","1,724","1,692","7,367","1,609","1,432","1,447","1,455","1,424","6,571","1,409","1,380","1,298","1,256","1,228","5,967","1,317","1,159","1,172","1,155","1,164","4,848","1,028",995,"1,055",938,832,"3,002",815,632,625,429,501,"2,553",551,534,513,512,443,"1,863",467,389,385,320,302,"1,053",253,245,185,190,180,479,147,116,84,74,58,135,49,33,24,20,9,17
新竹市,北區,計,"152,015","7,601","1,174","1,453","1,488","1,665","1,821","8,172","1,640","1,926","1,812","1,352","1,442","7,244","1,458","1,509","1,343","1,445","1,489","8,589","1,442","1,684","1,716","1,923","1,824","9,651","1,744","1,896","2,005","2,031","1,975","9,628","1,901","1,939","1,888","1,940","1,960","10,311","2,047","1,902","1,937","2,109","2,316","14,001","2,576","2,680","2,840","2,964","2,941","13,398","2,881","2,641","2,951","2,494","2,431","11,826","2,297","2,307","2,404","2,364","2,454","11,276","2,365","2,331","2,167","2,233","2,180","10,489","2,125","2,199","2,128","2,005","2,032","9,360","2,036","1,876","1,778","1,843","1,827","7,737","1,763","1,552","1,686","1,427","1,309","4,508","1,193",999,952,614,750,"3,566",796,749,692,687,642,"2,278",542,499,442,429,366,"1,452",328,306,280,285,253,739,208,175,144,120,92,177,73,47,21,22,14,12
新竹市,北區,男,"74,244","3,891",610,759,765,848,909,"4,220",843,984,962,697,734,"3,817",807,788,682,761,779,"4,457",722,890,898,"1,005",942,"4,955",910,971,"1,008","1,044","1,022","4,995",960,"1,023",990,"1,007","1,015","5,120","1,029",968,948,"1,040","1,135","6,583","1,195","1,256","1,336","1,394","1,402","6,522","1,454","1,243","1,448","1,202","1,175","5,748","1,131","1,090","1,180","1,158","1,189","5,487","1,112","1,132","1,066","1,099","1,078","5,041","1,068","1,078","1,021",957,917,"4,360",978,909,769,868,836,"3,579",825,702,771,676,605,"2,016",537,467,439,274,299,"1,463",356,307,282,277,241,902,220,186,188,173,135,615,128,125,117,127,118,377,94,87,82,67,47,90,38,19,11,15,7,6
新竹市,北區,女,"77,771","3,710",564,694,723,817,912,"3,952",797,942,850,655,708,"3,427",651,721,661,684,710,"4,132",720,794,818,918,882,"4,696",834,925,997,987,953,"4,633",941,916,898,933,945,"5,191","1,018",934,989,"1,069","1,181","7,418","1,381","1,424","1,504","1,570","1,539","6,876","1,427","1,398","1,503","1,292","1,256","6,078","1,166","1,217","1,224","1,206","1,265","5,789","1,253","1,199","1,101","1,134","1,102","5,448","1,057","1,121","1,107","1,048","1,115","5,000","1,058",967,"1,009",975,991,"4,158",938,850,915,751,704,"2,492",656,532,513,340,451,"2,103",440,442,410,410,401,"1,376",322,313,254,256,231,837,200,181,163,158,135,362,114,88,62,53,45,87,35,28,10,7,7,6
新竹市,香山區,計,"78,311","4,097",726,798,846,856,871,"3,259",784,779,639,512,545,"3,102",554,577,551,669,751,"4,708",844,880,904,"1,090",990,"5,372",943,"1,080","1,110","1,158","1,081","5,737","1,137","1,154","1,133","1,193","1,120","5,850","1,124","1,150","1,058","1,164","1,354","7,710","1,415","1,522","1,571","1,637","1,565","7,048","1,555","1,453","1,439","1,312","1,289","6,198","1,262","1,215","1,210","1,278","1,233","5,779","1,213","1,119","1,108","1,166","1,173","5,681","1,196","1,191","1,113","1,077","1,104","4,663","1,054",891,895,883,940,"3,605",861,824,734,669,517,"2,053",537,441,412,295,368,"1,529",315,337,334,283,260,"1,003",263,204,193,156,187,593,148,135,119,102,89,245,68,55,61,30,31,60,28,14,9,6,3,19
新竹市,香山區,男,"39,740","2,123",361,418,431,434,479,"1,701",413,405,322,273,288,"1,608",279,307,292,352,378,"2,505",468,482,487,565,503,"2,837",513,573,608,585,558,"2,917",543,601,599,612,562,"2,970",574,595,548,592,661,"3,965",733,784,797,866,785,"3,695",825,771,755,667,677,"3,199",670,640,615,664,610,"2,935",601,570,573,599,592,"2,806",588,601,564,498,555,"2,276",515,457,421,428,455,"1,703",418,375,343,324,243,984,271,214,197,131,171,691,137,164,167,125,98,421,117,81,92,63,68,270,64,63,58,45,40,110,37,24,25,13,11,19,10,5,3,0,1,5
新竹市,香山區,女,"38,571","1,974",365,380,415,422,392,"1,558",371,374,317,239,257,"1,494",275,270,259,317,373,"2,203",376,398,417,525,487,"2,535",430,507,502,573,523,"2,820",594,553,534,581,558,"2,880",550,555,510,572,693,"3,745",682,738,774,771,780,"3,353",730,682,684,645,612,"2,999",592,575,595,614,623,"2,844",612,549,535,567,581,"2,875",608,590,549,579,549,"2,387",539,434,474,455,485,"1,902",443,449,391,345,274,"1,069",266,227,215,164,197,838,178,173,167,158,162,582,146,123,101,93,119,323,84,72,61,57,49,135,31,31,36,17,20,41,18,9,6,6,2,14
