city,area,gender,total,total_age1,age_0,age_1,age_2,age_3,age_4,total_age2,age_5,age_6,age_7,age_8,age_9,total_age3,age_10,age_11,age_12,age_13,age_14,total_age4,age_15,age_16,age_17,age_18,age_19,total_age5,age_20,age_21,age_22,age_23,age_24,total_age6,age_25,age_26,age_27,age_28,age_29,total_age7,age_30,age_31,age_32,age_33,age_34,total_age8,age35,age_36,age_37,age_38,age_39,total_age9,age_40,age_41,age_42,age_43,age_44,total_age10,age45,age_46,age_47,age_48,age_49,total_age11,age_50,age_51,age_52,age_53,age_54,total_age12,age55,age_56,age_57,age_58,age_59,total_age13,age_60,age_61,age_62,age_63,age_64,total_age14,age65,age_66,age_67,age_68,age_69,total_age15,age_70,age_71,age_72,age_73,age_74,total_age16,age75,age_76,age_77,age_78,age_79,total_age17,age_80,age_81,age_82,age_83,age_84,total_age18,age85,age_86,age_87,age_88,age_89,total_age19,age_90,age_91,age_92,age_93,age_94,total_age20,age95,age_96,age_97,age_98,age_99,total_age21
新竹市,總  計,計,"446,567","24,785","3,831","4,537","4,978","5,547","5,892","27,070","5,396","6,425","5,639","4,540","5,070","25,258","5,115","5,274","5,066","4,818","4,985","26,646","4,826","5,204","5,223","5,893","5,500","27,455","4,923","5,646","5,702","5,705","5,479","27,520","5,513","5,520","5,399","5,648","5,440","29,928","5,895","5,518","5,515","6,061","6,939","41,884","7,450","7,982","8,668","8,888","8,896","40,729","8,772","8,111","8,912","7,691","7,243","34,926","6,879","6,947","7,028","7,040","7,032","31,676","6,692","6,366","6,205","6,259","6,154","29,182","6,158","6,120","5,768","5,569","5,567","25,270","5,630","4,894","4,990","4,883","4,873","20,371","4,563","4,367","4,433","3,654","3,354","11,768","3,065","2,629","2,395","1,654","2,025","9,400","2,055","2,007","1,856","1,807","1,675","6,295","1,529","1,352","1,260","1,111","1,043","3,939",906,854,783,717,679,"1,923",538,465,375,306,239,471,178,120,81,56,36,71
新竹市,總  計,男,"220,219","12,718","1,934","2,337","2,528","2,844","3,075","14,049","2,809","3,288","2,966","2,386","2,600","13,274","2,770","2,809","2,567","2,540","2,588","13,848","2,521","2,753","2,688","3,023","2,863","14,240","2,597","2,939","2,937","2,932","2,835","14,182","2,767","2,868","2,826","2,955","2,766","14,777","2,989","2,783","2,745","2,936","3,324","19,987","3,552","3,870","4,131","4,259","4,175","19,769","4,248","3,885","4,376","3,740","3,520","17,169","3,455","3,390","3,408","3,501","3,415","15,744","3,297","3,194","3,099","3,076","3,078","14,361","3,099","3,013","2,824","2,717","2,708","11,990","2,698","2,357","2,291","2,353","2,291","9,473","2,156","2,030","2,038","1,717","1,532","5,303","1,383","1,227","1,101",719,873,"3,906",869,864,785,715,673,"2,508",624,526,507,448,403,"1,727",374,360,352,333,308,942,246,226,202,153,115,218,80,57,39,26,16,34
新竹市,總  計,女,"226,348","12,067","1,897","2,200","2,450","2,703","2,817","13,021","2,587","3,137","2,673","2,154","2,470","11,984","2,345","2,465","2,499","2,278","2,397","12,798","2,305","2,451","2,535","2,870","2,637","13,215","2,326","2,707","2,765","2,773","2,644","13,338","2,746","2,652","2,573","2,693","2,674","15,151","2,906","2,735","2,770","3,125","3,615","21,897","3,898","4,112","4,537","4,629","4,721","20,960","4,524","4,226","4,536","3,951","3,723","17,757","3,424","3,557","3,620","3,539","3,617","15,932","3,395","3,172","3,106","3,183","3,076","14,821","3,059","3,107","2,944","2,852","2,859","13,280","2,932","2,537","2,699","2,530","2,582","10,898","2,407","2,337","2,395","1,937","1,822","6,465","1,682","1,402","1,294",935,"1,152","5,494","1,186","1,143","1,071","1,092","1,002","3,787",905,826,753,663,640,"2,212",532,494,431,384,371,981,292,239,173,153,124,253,98,63,42,30,20,37
新竹市,東區,計,"216,430","13,011","1,899","2,300","2,640","2,986","3,186","15,672","2,995","3,613","3,289","2,700","3,075","14,860","3,073","3,223","3,117","2,730","2,717","13,266","2,543","2,630","2,553","2,892","2,648","12,459","2,310","2,595","2,587","2,536","2,431","12,185","2,464","2,451","2,357","2,474","2,439","13,680","2,685","2,512","2,538","2,782","3,163","20,083","3,503","3,727","4,163","4,320","4,370","20,408","4,375","4,044","4,489","3,907","3,593","16,891","3,373","3,352","3,448","3,394","3,324","14,730","3,197","2,927","2,849","2,885","2,872","13,024","2,780","2,723","2,553","2,499","2,469","11,320","2,512","2,167","2,287","2,209","2,145","9,052","1,954","1,948","1,992","1,660","1,498","5,341","1,408","1,184","1,114",728,907,"4,326",942,909,846,840,789,"3,026",726,654,635,521,490,"1,882",419,420,379,331,333,934,260,228,168,156,122,240,81,64,48,29,18,40
新竹市,東區,男,"106,300","6,671",939,"1,173","1,337","1,532","1,690","8,131","1,550","1,848","1,734","1,414","1,585","7,842","1,652","1,758","1,577","1,427","1,428","6,815","1,301","1,362","1,287","1,478","1,387","6,477","1,228","1,326","1,354","1,313","1,256","6,266","1,260","1,254","1,202","1,316","1,234","6,651","1,362","1,242","1,256","1,319","1,472","9,405","1,652","1,803","1,963","2,013","1,974","9,627","1,999","1,869","2,179","1,878","1,702","8,220","1,684","1,608","1,641","1,673","1,614","7,358","1,619","1,496","1,413","1,380","1,450","6,504","1,408","1,336","1,263","1,257","1,240","5,385","1,199","1,053","1,058","1,068","1,007","4,205",935,940,907,761,662,"2,376",622,534,513,310,397,"1,764",382,376,344,334,328,"1,187",287,261,239,206,194,829,175,176,173,160,145,452,113,113,89,83,54,114,35,35,22,13,9,21
新竹市,東區,女,"110,130","6,340",960,"1,127","1,303","1,454","1,496","7,541","1,445","1,765","1,555","1,286","1,490","7,018","1,421","1,465","1,540","1,303","1,289","6,451","1,242","1,268","1,266","1,414","1,261","5,982","1,082","1,269","1,233","1,223","1,175","5,919","1,204","1,197","1,155","1,158","1,205","7,029","1,323","1,270","1,282","1,463","1,691","10,678","1,851","1,924","2,200","2,307","2,396","10,781","2,376","2,175","2,310","2,029","1,891","8,671","1,689","1,744","1,807","1,721","1,710","7,372","1,578","1,431","1,436","1,505","1,422","6,520","1,372","1,387","1,290","1,242","1,229","5,935","1,313","1,114","1,229","1,141","1,138","4,847","1,019","1,008","1,085",899,836,"2,965",786,650,601,418,510,"2,562",560,533,502,506,461,"1,839",439,393,396,315,296,"1,053",244,244,206,171,188,482,147,115,79,73,68,126,46,29,26,16,9,19
新竹市,北區,計,"151,828","7,610","1,181","1,429","1,472","1,707","1,821","8,171","1,624","2,009","1,752","1,336","1,450","7,251","1,481","1,472","1,380","1,427","1,491","8,654","1,456","1,691","1,746","1,917","1,844","9,628","1,712","1,911","2,010","2,032","1,963","9,597","1,910","1,911","1,894","1,970","1,912","10,376","2,052","1,897","1,929","2,114","2,384","14,073","2,535","2,714","2,889","2,947","2,988","13,257","2,820","2,626","2,979","2,478","2,354","11,860","2,295","2,362","2,358","2,377","2,468","11,192","2,313","2,318","2,231","2,224","2,106","10,487","2,179","2,214","2,085","2,000","2,009","9,319","2,082","1,843","1,786","1,825","1,783","7,716","1,740","1,597","1,707","1,352","1,320","4,430","1,144","1,004",905,611,766,"3,538",784,759,688,694,613,"2,272",542,498,439,430,363,"1,469",341,306,282,280,260,742,208,184,145,118,87,173,70,43,25,21,14,13
新竹市,北區,男,"74,159","3,879",622,740,750,872,895,"4,237",846,"1,035",922,707,727,"3,793",824,755,687,769,758,"4,515",758,910,900,994,953,"4,941",896,982,"1,009","1,036","1,018","5,005",961,"1,012","1,016","1,024",992,"5,136","1,038",960,941,"1,029","1,168","6,610","1,174","1,287","1,332","1,387","1,430","6,436","1,425","1,236","1,444","1,195","1,136","5,771","1,138","1,124","1,144","1,177","1,188","5,453","1,088","1,114","1,102","1,109","1,040","5,053","1,096","1,079","1,004",947,927,"4,340",999,860,783,870,828,"3,563",806,715,776,649,617,"1,975",511,470,412,264,318,"1,442",346,309,287,263,237,901,223,184,183,180,131,633,139,122,122,129,121,383,98,91,85,60,49,86,35,17,15,13,6,7
新竹市,北區,女,"77,669","3,731",559,689,722,835,926,"3,934",778,974,830,629,723,"3,458",657,717,693,658,733,"4,139",698,781,846,923,891,"4,687",816,929,"1,001",996,945,"4,592",949,899,878,946,920,"5,240","1,014",937,988,"1,085","1,216","7,463","1,361","1,427","1,557","1,560","1,558","6,821","1,395","1,390","1,535","1,283","1,218","6,089","1,157","1,238","1,214","1,200","1,280","5,739","1,225","1,204","1,129","1,115","1,066","5,434","1,083","1,135","1,081","1,053","1,082","4,979","1,083",983,"1,003",955,955,"4,153",934,882,931,703,703,"2,455",633,534,493,347,448,"2,096",438,450,401,431,376,"1,371",319,314,256,250,232,836,202,184,160,151,139,359,110,93,60,58,38,87,35,26,10,8,8,6
新竹市,香山區,計,"78,309","4,164",751,808,866,854,885,"3,227",777,803,598,504,545,"3,147",561,579,569,661,777,"4,726",827,883,924,"1,084","1,008","5,368",901,"1,140","1,105","1,137","1,085","5,738","1,139","1,158","1,148","1,204","1,089","5,872","1,158","1,109","1,048","1,165","1,392","7,728","1,412","1,541","1,616","1,621","1,538","7,064","1,577","1,441","1,444","1,306","1,296","6,175","1,211","1,233","1,222","1,269","1,240","5,754","1,182","1,121","1,125","1,150","1,176","5,671","1,199","1,183","1,130","1,070","1,089","4,631","1,036",884,917,849,945,"3,603",869,822,734,642,536,"1,997",513,441,376,315,352,"1,536",329,339,322,273,273,997,261,200,186,160,190,588,146,128,122,106,86,247,70,53,62,32,30,58,27,13,8,6,4,18
