city,area,gender,total,total_age1,age_0,age_1,age_2,age_3,age_4,total_age2,age_5,age_6,age_7,age_8,age_9,total_age3,age_10,age_11,age_12,age_13,age_14,total_age4,age_15,age_16,age_17,age_18,age_19,total_age5,age_20,age_21,age_22,age_23,age_24,total_age6,age_25,age_26,age_27,age_28,age_29,total_age7,age_30,age_31,age_32,age_33,age_34,total_age8,age35,age_36,age_37,age_38,age_39,total_age9,age_40,age_41,age_42,age_43,age_44,total_age10,age45,age_46,age_47,age_48,age_49,total_age11,age_50,age_51,age_52,age_53,age_54,total_age12,age55,age_56,age_57,age_58,age_59,total_age13,age_60,age_61,age_62,age_63,age_64,total_age14,age65,age_66,age_67,age_68,age_69,total_age15,age_70,age_71,age_72,age_73,age_74,total_age16,age75,age_76,age_77,age_78,age_79,total_age17,age_80,age_81,age_82,age_83,age_84,total_age18,age85,age_86,age_87,age_88,age_89,total_age19,age_90,age_91,age_92,age_93,age_94,total_age20,age95,age_96,age_97,age_98,age_99,total_age21
新竹市,總計,計,"452,882","21,688","3,512","4,034","4,407","4,741","4,994","28,995","5,539","5,914","5,711","5,749","6,082","24,997","5,032","4,691","5,219","5,189","4,866","24,150","4,827","4,672","4,679","4,920","5,052","27,016","5,452","5,567","5,134","5,056","5,807","28,163","5,740","5,617","5,475","5,701","5,630","29,765","5,807","6,042","5,899","6,070","5,947","37,319","6,086","6,927","7,541","8,074","8,691","43,908","8,974","9,013","8,875","8,520","8,526","36,378","8,274","7,421","6,942","6,842","6,899","33,057","6,886","6,793","6,880","6,445","6,053","30,161","6,160","6,165","5,929","5,999","5,908","26,289","5,514","5,477","5,417","5,143","4,738","22,758","4,889","4,861","4,515","4,257","4,236","15,332","3,980","3,274","3,106","2,545","2,427","9,201","1,794","1,772","1,910","1,873","1,852","7,040","1,618","1,579","1,429","1,230","1,184","3,939",982,906,749,690,612,"2,048",554,470,400,362,262,589,192,156,118,78,45,89
新竹市,總計,男,"223,677","11,214","1,786","2,129","2,280","2,471","2,548","15,022","2,836","3,075","2,964","2,985","3,162","13,153","2,629","2,445","2,757","2,827","2,495","12,602","2,539","2,398","2,436","2,545","2,684","13,981","2,831","2,869","2,661","2,609","3,011","14,547","2,991","2,904","2,832","2,917","2,903","15,215","3,037","3,130","2,994","3,072","2,982","18,102","3,043","3,328","3,631","3,856","4,244","21,169","4,309","4,370","4,208","4,095","4,187","17,944","4,039","3,712","3,444","3,350","3,399","16,272","3,333","3,372","3,316","3,220","3,031","14,886","3,037","3,053","2,896","2,978","2,922","12,554","2,704","2,594","2,590","2,490","2,176","10,587","2,256","2,269","2,138","2,008","1,916","7,004","1,815","1,487","1,425","1,155","1,122","3,869",779,739,799,794,758,"2,749",651,624,560,468,446,"1,571",377,357,299,271,267,898,232,200,171,165,130,296,107,71,58,39,21,42
新竹市,總計,女,"229,205","10,474","1,726","1,905","2,127","2,270","2,446","13,973","2,703","2,839","2,747","2,764","2,920","11,844","2,403","2,246","2,462","2,362","2,371","11,548","2,288","2,274","2,243","2,375","2,368","13,035","2,621","2,698","2,473","2,447","2,796","13,616","2,749","2,713","2,643","2,784","2,727","14,550","2,770","2,912","2,905","2,998","2,965","19,217","3,043","3,599","3,910","4,218","4,447","22,739","4,665","4,643","4,667","4,425","4,339","18,434","4,235","3,709","3,498","3,492","3,500","16,785","3,553","3,421","3,564","3,225","3,022","15,275","3,123","3,112","3,033","3,021","2,986","13,735","2,810","2,883","2,827","2,653","2,562","12,171","2,633","2,592","2,377","2,249","2,320","8,328","2,165","1,787","1,681","1,390","1,305","5,332","1,015","1,033","1,111","1,079","1,094","4,291",967,955,869,762,738,"2,368",605,549,450,419,345,"1,150",322,270,229,197,132,293,85,85,60,39,24,47
新竹市,東區,計,"221,565","11,730","1,839","2,165","2,405","2,570","2,751","17,115","3,187","3,392","3,439","3,415","3,682","15,224","3,150","3,029","3,262","3,030","2,753","12,052","2,533","2,352","2,353","2,388","2,426","12,510","2,579","2,627","2,391","2,311","2,602","12,606","2,509","2,507","2,436","2,647","2,507","14,078","2,679","2,743","2,863","2,894","2,899","18,114","2,938","3,337","3,600","3,952","4,287","21,897","4,400","4,523","4,419","4,299","4,256","17,854","4,215","3,674","3,341","3,328","3,296","15,450","3,303","3,183","3,237","2,961","2,766","13,560","2,777","2,830","2,706","2,655","2,592","11,731","2,441","2,392","2,422","2,314","2,162","10,016","2,166","2,187","1,890","1,878","1,895","6,880","1,777","1,445","1,419","1,143","1,096","4,169",814,789,858,865,843,"3,351",733,755,665,597,601,"1,871",470,422,352,327,300,990,262,222,205,174,127,306,99,78,57,43,29,61
新竹市,東區,男,"109,240","6,073",940,"1,181","1,237","1,330","1,385","8,949","1,642","1,777","1,815","1,778","1,937","8,016","1,637","1,568","1,724","1,666","1,421","6,245","1,336","1,219","1,236","1,190","1,264","6,475","1,337","1,371","1,230","1,205","1,332","6,544","1,332","1,299","1,257","1,364","1,292","7,124","1,365","1,434","1,444","1,448","1,433","8,629","1,423","1,554","1,693","1,879","2,080","10,160","2,048","2,107","1,986","1,970","2,049","8,797","2,061","1,813","1,655","1,647","1,621","7,661","1,604","1,574","1,587","1,524","1,372","6,672","1,370","1,385","1,309","1,333","1,275","5,715","1,250","1,164","1,175","1,121","1,005","4,722","1,005","1,033",896,924,864,"3,059",780,643,626,516,494,"1,723",352,332,356,354,329,"1,308",286,323,251,233,215,739,169,167,138,133,132,442,112,100,86,84,60,158,53,41,22,26,16,29
新竹市,東區,女,"112,325","5,657",899,984,"1,168","1,240","1,366","8,166","1,545","1,615","1,624","1,637","1,745","7,208","1,513","1,461","1,538","1,364","1,332","5,807","1,197","1,133","1,117","1,198","1,162","6,035","1,242","1,256","1,161","1,106","1,270","6,062","1,177","1,208","1,179","1,283","1,215","6,954","1,314","1,309","1,419","1,446","1,466","9,485","1,515","1,783","1,907","2,073","2,207","11,737","2,352","2,416","2,433","2,329","2,207","9,057","2,154","1,861","1,686","1,681","1,675","7,789","1,699","1,609","1,650","1,437","1,394","6,888","1,407","1,445","1,397","1,322","1,317","6,016","1,191","1,228","1,247","1,193","1,157","5,294","1,161","1,154",994,954,"1,031","3,821",997,802,793,627,602,"2,446",462,457,502,511,514,"2,043",447,432,414,364,386,"1,132",301,255,214,194,168,548,150,122,119,90,67,148,46,37,35,17,13,32
新竹市,北區,計,"152,604","6,570","1,038","1,231","1,302","1,471","1,528","8,485","1,591","1,804","1,639","1,709","1,742","6,888","1,384","1,240","1,352","1,489","1,423","7,816","1,533","1,482","1,472","1,632","1,697","9,270","1,817","1,901","1,768","1,761","2,023","9,865","2,068","1,968","1,950","1,884","1,995","10,051","1,975","2,130","1,973","2,029","1,944","12,456","2,035","2,326","2,548","2,670","2,877","14,406","2,954","2,931","2,965","2,708","2,848","12,056","2,642","2,451","2,304","2,287","2,372","11,586","2,315","2,391","2,373","2,337","2,170","10,787","2,235","2,154","2,048","2,209","2,141","9,562","1,996","1,993","1,951","1,888","1,734","8,508","1,809","1,795","1,719","1,560","1,625","5,828","1,492","1,255","1,183",969,929,"3,424",668,642,742,684,688,"2,585",625,594,512,445,409,"1,444",371,339,260,261,213,784,211,184,149,141,99,212,69,61,43,27,12,21
新竹市,北區,男,"74,464","3,410",516,638,690,773,793,"4,311",813,911,819,872,896,"3,608",720,657,715,808,708,"4,062",803,752,738,850,919,"4,762",932,972,921,885,"1,052","5,063","1,044","1,027","1,009",966,"1,017","5,147","1,063","1,095",997,"1,030",962,"6,004","1,012","1,147","1,220","1,228","1,397","7,012","1,410","1,431","1,455","1,320","1,396","5,814","1,276","1,218","1,124","1,066","1,130","5,588","1,105","1,177","1,113","1,101","1,092","5,274","1,071","1,076","1,014","1,064","1,049","4,410",936,893,903,912,766,"3,867",817,826,795,702,727,"2,693",696,579,555,436,427,"1,416",289,254,315,288,270,985,248,214,203,168,152,571,154,134,101,101,81,349,94,72,67,62,54,108,40,25,28,11,4,10
新竹市,北區,女,"78,140","3,160",522,593,612,698,735,"4,174",778,893,820,837,846,"3,280",664,583,637,681,715,"3,754",730,730,734,782,778,"4,508",885,929,847,876,971,"4,802","1,024",941,941,918,978,"4,904",912,"1,035",976,999,982,"6,452","1,023","1,179","1,328","1,442","1,480","7,394","1,544","1,500","1,510","1,388","1,452","6,242","1,366","1,233","1,180","1,221","1,242","5,998","1,210","1,214","1,260","1,236","1,078","5,513","1,164","1,078","1,034","1,145","1,092","5,152","1,060","1,100","1,048",976,968,"4,641",992,969,924,858,898,"3,135",796,676,628,533,502,"2,008",379,388,427,396,418,"1,600",377,380,309,277,257,873,217,205,159,160,132,435,117,112,82,79,45,104,29,36,15,16,8,11
新竹市,香山區,計,"78,713","3,388",635,638,700,700,715,"3,395",761,718,633,625,658,"2,885",498,422,605,670,690,"4,282",761,838,854,900,929,"5,236","1,056","1,039",975,984,"1,182","5,692","1,163","1,142","1,089","1,170","1,128","5,636","1,153","1,169","1,063","1,147","1,104","6,749","1,113","1,264","1,393","1,452","1,527","7,605","1,620","1,559","1,491","1,513","1,422","6,468","1,417","1,296","1,297","1,227","1,231","6,021","1,268","1,219","1,270","1,147","1,117","5,814","1,148","1,181","1,175","1,135","1,175","4,996","1,077","1,092","1,044",941,842,"4,234",914,879,906,819,716,"2,624",711,574,504,433,402,"1,608",312,341,310,324,321,"1,104",260,230,252,188,174,624,141,145,137,102,99,274,81,64,46,47,36,71,24,17,18,8,4,7
