"city","area","gender","total","age_4","age_9","age_14","age_19","age_24","age_29","age_34","age_39","age_44","age_49","age_54","age_59","age_64","age_69","age_74","age_79","age_84","age_89","age_94","age_99","age_100"
"新竹市","東區","計","217,446","12,741","15,916","14,902","13,058","12,429","12,256","13,477","19,734","20,899","16,929","14,941","13,190","11,529","9,320","5,591","4,356","3,068","1,837","973",260,40
"新竹市","東區","男","106,856","6,498","8,288","7,881","6,754","6,446","6,286","6,609","9,299","9,820","8,247","7,425","6,554","5,498","4,356","2,489","1,789","1,200","808","466",120,23
"新竹市","東區","女","110,590","6,243","7,628","7,021","6,304","5,983","5,970","6,868","10,435","11,079","8,682","7,516","6,636","6,031","4,964","3,102","2,567","1,868","1,029","507",140,17
"新竹市","北區","計","152,180","7,394","8,249","7,245","8,482","9,562","9,708","10,078","13,772","13,752","11,736","11,432","10,539","9,414","7,886","4,643","3,589","2,332","1,424","749",181,13
"新竹市","北區","男","74,253","3,808","4,250","3,763","4,401","4,912","5,033","5,037","6,489","6,669","5,682","5,574","5,080","4,371","3,630","2,107","1,474","922","581","367",97,6
"新竹市","北區","女","77,927","3,586","3,999","3,482","4,081","4,650","4,675","5,041","7,283","7,083","6,054","5,858","5,459","5,043","4,256","2,536","2,115","1,410","843","382",84,7
"新竹市","香山區","計","78,581","3,960","3,250","3,120","4,695","5,354","5,752","5,686","7,678","7,182","6,223","5,863","5,751","4,683","3,811","2,076","1,550","1,010","612","247",60,18
"新竹市","香山區","男","39,877","2,052","1,705","1,615","2,513","2,815","2,939","2,913","3,925","3,750","3,227","2,965","2,860","2,275","1,808","992","708","416","264","109",21,5
"新竹市","香山區","女","38,704","1,908","1,545","1,505","2,182","2,539","2,813","2,773","3,753","3,432","2,996","2,898","2,891","2,408","2,003","1,084","842","594","348","138",39,13
"新竹縣","竹北市","計","193630","13859","15970","14083","11620","10670","10220","12363","19770","21932","17541","12851","9927","7571","5723","3403","2815","1815","982","418",82,15
"新竹縣","竹北市","男","96370","7262","8210","7343","6092","5594","5243","6095","9327","10263","8793","6474","4942","3723","2661","1605","1287","809","411","201",31,4
"新竹縣","竹北市","女","97260","6597","7760","6740","5528","5076","4977","6268","10443","11669","8748","6377","4985","3848","3062","1798","1528","1006","571","217",51,11
"新竹縣","關西鎮","計","28095","719","889","1113","1628","1956","1883","1564","1796","1882","2110","2368","2310","1984","1601","990","1254","1074","654","242",67,11
