"city","area","gender","total","age_4","age_9","age_14","age_19","age_24","age_29","age_34","age_39","age_44","age_49","age_54","age_59","age_64","age_69","age_74","age_79","age_84","age_89","age_94","age_99","age_100"
"新竹市","東區","計","216,125","13,037","15,658","14,781","13,292","12,452","12,192","13,701","20,115","20,303","16,877","14,687","13,005","11,276","9,029","5,268","4,338","3,013","1,886","935",240,40
"新竹市","東區","男","106,159","6,696","8,115","7,804","6,831","6,455","6,282","6,650","9,420","9,606","8,203","7,339","6,485","5,357","4,203","2,347","1,758","1,179","835","456",117,21
"新竹市","東區","女","109,966","6,341","7,543","6,977","6,461","5,997","5,910","7,051","10,695","10,697","8,674","7,348","6,520","5,919","4,826","2,921","2,580","1,834","1,051","479",123,19
"新竹市","北區","計","151,749","7,634","8,149","7,282","8,674","9,654","9,561","10,419","14,091","13,205","11,849","11,177","10,517","9,284","7,672","4,398","3,524","2,259","1,473","736",178,13
"新竹市","北區","男","74,136","3,894","4,224","3,807","4,511","4,967","4,996","5,147","6,634","6,402","5,756","5,465","5,062","4,315","3,543","1,964","1,436","896","637","382",91,7
"新竹市","北區","女","77,613","3,740","3,925","3,475","4,163","4,687","4,565","5,272","7,457","6,803","6,093","5,712","5,455","4,969","4,129","2,434","2,088","1,363","836","354",87,6
"新竹市","香山區","計","78,336","4,187","3,220","3,158","4,732","5,388","5,733","5,908","7,767","7,050","6,175","5,759","5,650","4,633","3,565","1,979","1,538","986","584","251",57,16
"新竹市","香山區","男","39,760","2,175","1,673","1,653","2,523","2,841","2,895","3,005","3,993","3,694","3,160","2,952","2,772","2,279","1,695","935","699","418","263","113",16,6
"新竹市","香山區","女","38,576","2,012","1,547","1,505","2,209","2,547","2,838","2,903","3,774","3,356","3,015","2,807","2,878","2,354","1,870","1,044","839","568","321","138",41,10
"新竹縣","竹北市","計","188288","13596","15496","13579","11533","10487","9803","12172","19775","21155","16876","12228","9612","7311","5519","3200","2722","1774","938","425",72,15
"新竹縣","竹北市","男","93693","7067","7977","7128","6045","5436","5061","5949","9242","9989","8551","6137","4794","3567","2577","1527","1230","790","393","200",29,4
"新竹縣","竹北市","女","94595","6529","7519","6451","5488","5051","4742","6223","10533","11166","8325","6091","4818","3744","2942","1673","1492","984","545","225",43,11
"新竹縣","關西鎮","計","28381","724","912","1173","1689","1991","1885","1591","1845","1921","2155","2331","2318","1972","1598","967","1287","1085","625","245",62,5
"新竹縣","關西鎮","男","15236","398","475","616","903","1040","1024","890","941","1017","1201","1340","1361","1115","851","474","644","525","293","98",28,2
"新竹縣","關西鎮","女","13145","326","437","557","786","951","861","701","904","904","954","991","957","857","747","493","643","560","332","147",34,3
"新竹縣","新埔鎮","計","33037","1176","932","1064","1769","2272","2539","2299","2432","2286","2203","2498","2758","2554","1974","1156","1223","990","600","257",49,6
"新竹縣","新埔鎮","男","17598","612","514","547","909","1218","1387","1265","1377","1258","1203","1333","1496","1379","1058","588","587","458","282","108",18,1
"新竹縣","新埔鎮","女","15439","564","418","517","860","1054","1152","1034","1055","1028","1000","1165","1262","1175","916","568","636","532","318","149",31,5
"新竹縣","竹東鎮","計","96404","4120","4663","4970","6368","6984","6794","6557","8121","7718","7544","7113","6893","5543","4289","2610","2573","1937","1088","415",91,13
"新竹縣","竹東鎮","男","48387","2135","2352","2583","3405","3606","3532","3433","4034","3765","3739","3615","3458","2751","2030","1243","1185","819","473","188",35,6
"新竹縣","竹東鎮","女","48017","1985","2311","2387","2963","3378","3262","3124","4087","3953","3805","3498","3435","2792","2259","1367","1388","1118","615","227",56,7
"新竹縣","湖口鄉","計","77671","3268","3895","3930","4883","5857","5753","5446","6866","6321","5802","5794","5668","4553","3366","1975","1762","1278","781","385",80,8
"新竹縣","湖口鄉","男","39316","1740","1992","2074","2542","3059","3103","2761","3398","3204","2884","2910","2820","2280","1647","863","793","563","442","200",38,3
"新竹縣","湖口鄉","女","38355","1528","1903","1856","2341","2798","2650","2685","3468","3117","2918","2884","2848","2273","1719","1112","969","715","339","185",42,5
"新竹縣","橫山鄉","計","12904","390","392","423","700","923","857","764","860","829","908","1044","1043","945","771","563","607","456","270","119",36,4
"新竹縣","橫山鄉","男","6991","206","206","215","371","492","471","408","506","450","513","627","614","532","434","288","288","207","107","44",11,1
"新竹縣","橫山鄉","女","5913","184","186","208","329","431","386","356","354","379","395","417","429","413","337","275","319","249","163","75",25,3
"新竹縣","新豐鄉","計","57087","2627","3352","3100","3626","4233","4185","3866","5301","4973","4302","4108","3932","3170","2356","1265","1165","785","486","215",36,4
"新竹縣","新豐鄉","男","29257","1335","1746","1629","1924","2241","2267","2013","2633","2498","2234","2081","2048","1600","1166","607","531","365","219","101",18,1
"新竹縣","新豐鄉","女","27830","1292","1606","1471","1702","1992","1918","1853","2668","2475","2068","2027","1884","1570","1190","658","634","420","267","114",18,3
"新竹縣","芎林鄉","計","19992","692","630","657","1258","1542","1576","1307","1409","1364","1473","1575","1662","1385","1096","646","687","530","333","146",20,4
"新竹縣","芎林鄉","男","10583","382","328","362","646","786","859","722","738","685","782","853","910","765","575","343","367","255","154","64",5,2
"新竹縣","芎林鄉","女","9409","310","302","295","612","756","717","585","671","679","691","722","752","620","521","303","320","275","179","82",15,2
"新竹縣","寶山鄉","計","14621","488","370","368","837","1172","1161","997","1080","1070","1172","1360","1323","1007","719","378","455","336","208","99",21,0
"新竹縣","寶山鄉","男","7924","274","198","185","418","622","643","538","587","585","610","780","742","604","391","216","232","167","87","36",9,0
"新竹縣","寶山鄉","女","6697","214","172","183","419","550","518","459","493","485","562","580","581","403","328","162","223","169","121","63",12,0
"新竹縣","北埔鄉","計","9299","266","273","315","544","694","661","566","585","599","677","760","772","645","500","358","451","341","207","64",18,3
"新竹縣","北埔鄉","男","5046","134","159","166","271","360","360","320","307","334","379","438","480","385","260","175","237","164","92","20",5,0
"新竹縣","北埔鄉","女","4253","132","114","149","273","334","301","246","278","265","298","322","292","260","240","183","214","177","115","44",13,3
"新竹縣","峨眉鄉","計","5567","203","101","110","243","348","364","338","328","305","374","454","495","464","363","246","335","256","156","65",16,3
"新竹縣","峨眉鄉","男","3062","111","48","58","142","175","188","178","172","167","203","269","306","302","213","140","165","128","68","18",8,3
"新竹縣","峨眉鄉","女","2505","92","53","52","101","173","176","160","156","138","171","185","189","162","150","106","170","128","88","47",8,0
"新竹縣","尖石鄉","計","9663","692","586","575","731","837","762","668","797","749","648","654","611","527","341","185","135","98","46","15",4,2
"新竹縣","尖石鄉","男","5075","366","301","306","358","439","388","374","428","421","360","328","330","280","162","106","62","42","18","5",0,1
"新竹縣","尖石鄉","女","4588","326","285","269","373","398","374","294","369","328","288","326","281","247","179","79","73","56","28","10",4,1
"新竹縣","五峰鄉","計","4727","258","191","175","263","331","331","320","405","376","356","418","402","374","227","117","99","50","25","9",0,0
"新竹縣","五峰鄉","男","2535","138","91","86","132","177","172","176","231","218","211","219","213","191","135","61","44","25","10","5",0,0
"新竹縣","五峰鄉","女","2192","120","100","89","131","154","159","144","174","158","145","199","189","183","92","56","55","25","15","4",0,0
