"city","area","gender","total","age_4","age_9","age_14","age_19","age_24","age_29","age_34","age_39","age_44","age_49","age_54","age_59","age_64","age_69","age_74","age_79","age_84","age_89","age_94","age_99","age_100"
"新竹市","東區","計",216512,12973,15691,14887,13223,12477,12177,13623,20051,20498,16861,14714,13056,11352,9050,5412,4316,3060,1875,930,247,39
"新竹市","東區","男",106335,6648,8144,7855,6793,6477,6258,6643,9403,9653,8200,7352,6497,5408,4217,2409,1776,1193,819,453,116,21
"新竹市","東區","女",110177,6325,7547,7032,6430,6000,5919,6980,10648,10845,8661,7362,6559,5944,4833,3003,2540,1867,1056,477,131,18
"新竹市","北區","計",151845,7578,8151,7263,8610,9634,9617,10332,14031,13328,11831,11220,10466,9365,7690,4515,3542,2286,1464,732,177,13
"新竹市","北區","男",74169,3865,4212,3808,4488,4948,5002,5119,6607,6469,5756,5472,5045,4344,3560,2023,1448,904,627,376,89,7
"新竹市","北區","女",77676,3713,3939,3455,4122,4686,4615,5213,7424,6859,6075,5748,5421,5021,4130,2492,2094,1382,837,356,88,6
"新竹市","香山區","計",78344,4116,3265,3114,4722,5373,5723,5877,7729,7057,6171,5789,5681,4645,3578,2053,1532,1004,591,246,59,19
"新竹市","香山區","男",39777,2151,1701,1620,2513,2840,2906,2987,3967,3710,3181,2938,2806,2268,1692,974,699,427,265,107,19,6
"新竹市","香山區","女",38567,1965,1564,1494,2209,2533,2817,2890,3762,3347,2990,2851,2875,2377,1886,1079,833,577,326,139,40,13
"新竹縣","竹北市","計",189466,13619,15585,13702,11521,10564,9906,12210,19838,21264,17028,12324,9699,7390,5517,3302,2760,1768,961,419,75,14
"新竹縣","竹北市","男",94291,7096,8024,7154,6041,5511,5102,5993,9271,10037,8600,6211,4827,3621,2566,1569,1247,783,404,201,29,4
"新竹縣","竹北市","女",95175,6523,7561,6548,5480,5053,4804,6217,10567,11227,8428,6113,4872,3769,2951,1733,1513,985,557,218,46,10
"新竹縣","關西鎮","計",28272,712,903,1162,1650,2005,1889,1572,1838,1902,2144,2323,2332,1964,1588,987,1281,1079,630,245,60,6
"新竹縣","關西鎮","男",15163,394,461,613,882,1048,1019,885,940,1007,1194,1333,1370,1109,848,484,643,515,293,97,26,2
"新竹縣","關西鎮","女",13109,318,442,549,768,957,870,687,898,895,950,990,962,855,740,503,638,564,337,148,34,4
"新竹縣","新埔鎮","計",32993,1177,942,1044,1751,2280,2528,2265,2474,2263,2186,2484,2752,2565,1978,1185,1214,989,611,251,49,5
"新竹縣","新埔鎮","男",17571,613,515,539,898,1215,1395,1239,1400,1249,1191,1322,1500,1386,1055,601,593,448,286,108,17,1
"新竹縣","新埔鎮","女",15422,564,427,505,853,1065,1133,1026,1074,1014,995,1162,1252,1179,923,584,621,541,325,143,32,4
"新竹縣","竹東鎮","計",96395,4082,4695,4942,6308,6978,6824,6491,8111,7731,7536,7106,6923,5610,4250,2684,2560,1956,1091,409,94,14
"新竹縣","竹東鎮","男",48364,2106,2384,2569,3360,3608,3552,3401,4033,3772,3720,3600,3480,2789,2005,1287,1170,831,474,180,37,6
"新竹縣","竹東鎮","女",48031,1976,2311,2373,2948,3370,3272,3090,4078,3959,3816,3506,3443,2821,2245,1397,1390,1125,617,229,57,8
"新竹縣","湖口鄉","計",77647,3213,3909,3934,4849,5838,5774,5402,6822,6363,5802,5780,5669,4580,3369,2042,1766,1293,774,380,80,8
"新竹縣","湖口鄉","男",39289,1702,2005,2068,2519,3049,3127,2732,3373,3222,2899,2888,2818,2304,1645,902,797,567,432,201,36,3
"新竹縣","湖口鄉","女",38358,1511,1904,1866,2330,2789,2647,2670,3449,3141,2903,2892,2851,2276,1724,1140,969,726,342,179,44,5
"新竹縣","橫山鄉","計",12875,394,388,428,689,917,869,756,852,834,901,1027,1050,943,778,559,608,461,257,126,34,4
"新竹縣","橫山鄉","男",6979,212,203,221,363,486,486,402,499,449,507,617,622,526,441,288,290,207,104,46,9,1
"新竹縣","橫山鄉","女",5896,182,185,207,326,431,383,354,353,385,394,410,428,417,337,271,318,254,153,80,25,3
"新竹縣","新豐鄉","計",57148,2635,3369,3085,3598,4217,4187,3867,5267,5009,4311,4095,3950,3193,2338,1331,1166,783,494,213,37,3
"新竹縣","新豐鄉","男",29299,1337,1759,1625,1907,2219,2287,2012,2613,2515,2241,2088,2044,1616,1171,631,520,367,230,97,19,1
"新竹縣","新豐鄉","女",27849,1298,1610,1460,1691,1998,1900,1855,2654,2494,2070,2007,1906,1577,1167,700,646,416,264,116,18,2
"新竹縣","芎林鄉","計",19975,693,626,648,1244,1539,1573,1303,1417,1356,1466,1580,1668,1386,1100,660,681,537,330,144,19,5
"新竹縣","芎林鄉","男",10575,384,323,359,639,786,844,734,743,679,781,853,919,760,581,347,368,256,150,62,5,2
"新竹縣","芎林鄉","女",9400,309,303,289,605,753,729,569,674,677,685,727,749,626,519,313,313,281,180,82,14,3
"新竹縣","寶山鄉","計",14570,477,370,356,826,1168,1169,985,1080,1062,1156,1357,1324,1009,728,387,455,337,206,96,22,0
"新竹縣","寶山鄉","男",7904,263,200,180,416,613,646,533,592,584,599,783,743,604,394,224,229,171,86,34,10,0
"新竹縣","寶山鄉","女",6666,214,170,176,410,555,523,452,488,478,557,574,581,405,334,163,226,166,120,62,12,0
"新竹縣","北埔鄉","計",9266,282,265,305,539,683,667,562,579,599,668,750,784,636,502,363,447,341,207,64,20,3
"新竹縣","北埔鄉","男",5034,142,151,163,273,359,358,317,306,336,372,432,484,381,267,173,238,164,91,21,6,0
"新竹縣","北埔鄉","女",4232,140,114,142,266,324,309,245,273,263,296,318,300,255,235,190,209,177,116,43,14,3
"新竹縣","峨眉鄉","計",5547,201,103,100,244,341,369,333,324,306,377,445,491,466,365,253,330,256,156,68,17,2
"新竹縣","峨眉鄉","男",3051,109,49,57,140,175,189,175,170,165,204,264,307,299,218,144,162,127,67,20,8,2
"新竹縣","峨眉鄉","女",2496,92,54,43,104,166,180,158,154,141,173,181,184,167,147,109,168,129,89,48,9,0
"新竹縣","尖石鄉","計",9643,690,594,565,717,840,765,659,789,748,651,652,600,541,340,193,137,90,51,15,4,2
"新竹縣","尖石鄉","男",5065,371,303,304,350,445,394,365,426,415,359,333,319,283,160,110,64,38,20,5,0,1
"新竹縣","尖石鄉","女",4578,319,291,261,367,395,371,294,363,333,292,319,281,258,180,83,73,52,31,10,4,1
"新竹縣","五峰鄉","計",4710,256,190,174,265,337,328,313,400,376,356,411,406,369,232,112,101,51,23,10,0,0
