"city","area","gender","total","age_4","age_9","age_14","age_19","age_24","age_29","age_34","age_39","age_44","age_49","age_54","age_59","age_64","age_69","age_74","age_79","age_84","age_89","age_94","age_99","age_100"
"新竹市","東區","計","217,616","12,659","15,949","14,934","13,015","12,463","12,307","13,435","19,663","20,956","16,928","14,963","13,237","11,522","9,389","5,627","4,347","3,102","1,844","977",257,42
"新竹市","東區","男","106,965","6,468","8,311","7,885","6,736","6,466","6,319","6,589","9,277","9,872","8,236","7,413","6,582","5,499","4,397","2,497","1,777","1,223","811","463",121,23
"新竹市","東區","女","110,651","6,191","7,638","7,049","6,279","5,997","5,988","6,846","10,386","11,084","8,692","7,550","6,655","6,023","4,992","3,130","2,570","1,879","1,033","514",136,19
"新竹市","北區","計","152,271","7,327","8,292","7,244","8,472","9,525","9,717","10,074","13,700","13,794","11,760","11,466","10,537","9,428","7,942","4,677","3,597","2,336","1,430","760",180,13
"新竹市","北區","男","74,283","3,775","4,267","3,767","4,380","4,918","5,035","5,028","6,452","6,684","5,701","5,572","5,094","4,370","3,664","2,116","1,493","913","579","371",98,6
"新竹市","北區","女","77,988","3,552","4,025","3,477","4,092","4,607","4,682","5,046","7,248","7,110","6,059","5,894","5,443","5,058","4,278","2,561","2,104","1,423","851","389",82,7
"新竹市","香山區","計","78,585","3,937","3,263","3,094","4,706","5,334","5,754","5,658","7,612","7,269","6,216","5,843","5,753","4,684","3,862","2,090","1,558","1,013","607","255",60,17
"新竹市","香山區","男","39,877","2,034","1,717","1,615","2,516","2,797","2,935","2,897","3,889","3,789","3,232","2,955","2,867","2,275","1,830","998","712","416","261","115",22,5
"新竹市","香山區","女","38,708","1,903","1,546","1,479","2,190","2,537","2,819","2,761","3,723","3,480","2,984","2,888","2,886","2,409","2,032","1,092","846","597","346","140",38,12
"新竹縣","竹北市","計","193980","13808","15998","14161","11638","10649","10267","12307","19690","22028","17585","12903","10018","7603","5759","3416","2811","1833","982","427",82,15
"新竹縣","竹北市","男","96536","7237","8219","7391","6106","5592","5249","6098","9259","10310","8804","6502","4996","3737","2673","1608","1290","815","410","206",30,4
"新竹縣","竹北市","女","97444","6571","7779","6770","5532","5057","5018","6209","10431","11718","8781","6401","5022","3866","3086","1808","1521","1018","572","221",52,11
"新竹縣","關西鎮","計","28066","711","889","1107","1622","1950","1887","1560","1797","1878","2103","2359","2313","1991","1586","1010","1247","1076","651","250",69,10
"新竹縣","關西鎮","男","15059","405","440","601","857","1012","1008","882","914","993","1168","1352","1362","1125","861","508","617","518","301","104",27,4
"新竹縣","關西鎮","女","13007","306","449","506","765","938","879","678","883","885","935","1007","951","866","725","502","630","558","350","146",42,6
"新竹縣","新埔鎮","計","32817","1105","937","996","1721","2217","2545","2221","2430","2300","2179","2472","2773","2572","2054","1188","1181","1005","613","252",50,6
"新竹縣","新埔鎮","男","17465","562","509","516","884","1181","1402","1221","1376","1265","1166","1355","1502","1386","1089","614","575","448","280","113",20,1
"新竹縣","新埔鎮","女","15352","543","428","480","837","1036","1143","1000","1054","1035","1013","1117","1271","1186","965","574","606","557","333","139",30,5
"新竹縣","竹東鎮","計","97104","4144","4724","4855","6123","6894","6941","6588","8211","7915","7526","7154","6979","5686","4446","2771","2486","1985","1134","424",104,14
"新竹縣","竹東鎮","男","48771","2132","2397","2536","3245","3624","3595","3458","4145","3837","3714","3640","3516","2817","2105","1327","1132","850","477","174",44,6
"新竹縣","竹東鎮","女","48333","2012","2327","2319","2878","3270","3346","3130","4066","4078","3812","3514","3463","2869","2341","1444","1354","1135","657","250",60,8
"新竹縣","湖口鄉","計","77890","3120","3949","3920","4727","5660","5892","5340","6725","6581","5814","5845","5723","4674","3510","2041","1797","1325","752","399",89,7
"新竹縣","湖口鄉","男","39423","1639","2018","2065","2487","2941","3189","2734","3327","3335","2916","2901","2846","2359","1705","907","817","573","409","210",42,3
"新竹縣","湖口鄉","女","38467","1481","1931","1855","2240","2719","2703","2606","3398","3246","2898","2944","2877","2315","1805","1134","980","752","343","189",47,4
"新竹縣","橫山鄉","計","12801","380","382","434","666","887","904","721","841","827","874","1050","1043","948","805","539","597","479","253","127",39,5
"新竹縣","橫山鄉","男","6922","200","195","221","356","463","508","394","470","454","482","634","612","533","455","277","291","214","99","52",10,2
"新竹縣","橫山鄉","女","5879","180","187","213","310","424","396","327","371","373","392","416","431","415","350","262","306","265","154","75",29,3
"新竹縣","新豐鄉","計","57302","2532","3401","3064","3543","4135","4219","3857","5136","5142","4344","4119","4067","3223","2413","1378","1141","823","498","220",41,6
"新竹縣","新豐鄉","男","29396","1306","1756","1626","1875","2176","2324","2001","2559","2597","2253","2096","2107","1624","1197","658","516","370","239","93",22,1
"新竹縣","新豐鄉","女","27906","1226","1645","1438","1668","1959","1895","1856","2577","2545","2091","2023","1960","1599","1216","720","625","453","259","127",19,5
"新竹縣","芎林鄉","計","19935","660","611","623","1168","1552","1543","1368","1410","1345","1446","1581","1667","1415","1150","681","674","541","330","147",20,3
"新竹縣","芎林鄉","男","10532","359","318","334","600","797","832","758","768","652","768","855","911","772","608","363","354","267","151","60",4,1
"新竹縣","芎林鄉","女","9403","301","293","289","568","755","711","610","642","693","678","726","756","643","542","318","320","274","179","87",16,2
"新竹縣","寶山鄉","計","14591","510","357","334","784","1141","1181","991","1090","1076","1136","1357","1342","1034","753","393","441","341","211","99",19,1
"新竹縣","寶山鄉","男","7923","286","198","172","404","583","658","546","593","591","584","764","766","609","410","230","228","165","91","35",10,0
"新竹縣","寶山鄉","女","6668","224","159","162","380","558","523","445","497","485","552","593","576","425","343","163","213","176","120","64",9,1
"新竹縣","北埔鄉","計","9172","260","264","281","520","682","650","558","559","601","645","763","778","653","523","352","434","351","194","75",26,3
"新竹縣","北埔鄉","男","4990","131","144","151","283","348","342","318","306","328","367","428","484","396","277","174","220","172","86","27",8,0
"新竹縣","北埔鄉","女","4182","129","120","130","237","334","308","240","253","273","278","335","294","257","246","178","214","179","108","48",18,3
"新竹縣","峨眉鄉","計","5477","201","105","92","235","326","369","310","327","301","368","432","490","472","373","256","316","257","160","67",19,1
"新竹縣","峨眉鄉","男","3019","103","49","58","138","178","185","166","170","161","194","257","305","303","223","141","158","128","71","21",9,1
"新竹縣","峨眉鄉","女","2458","98","56","34","97","148","184","144","157","140","174","175","185","169","150","115","158","129","89","46",10,0
"新竹縣","尖石鄉","計","9633","669","593","580","722","805","768","655","779","741","678","645","618","537","347","192","145","87","52","13",5,2
"新竹縣","尖石鄉","男","5038","353","296","309","355","419","400","361","416","416","369","329","329","280","169","108","68","37","20","2",1,1
"新竹縣","尖石鄉","女","4595","316","297","271","367","386","368","294","363","325","309","316","289","257","178","84","77","50","32","11",4,1
"新竹縣","五峰鄉","計","4600","257","184","164","257","307","339","292","377","388","326","409","399","352","253","119","95","52","19","10",1,0
"新竹縣","五峰鄉","男","2488","132","90","85","129","169","184","156","214","237","181","227","213","177","146","62","50","23","7","6",0,0
"新竹縣","五峰鄉","女","2112","125","94","79","128","138","155","136","163","151","145","182","186","175","107","57","45","29","12","4",1,0
