city,area,gender,total,total_age1,age_0,age_1,age_2,age_3,age_4,total_age2,age_5,age_6,age_7,age_8,age_9,total_age3,age_10,age_11,age_12,age_13,age_14,total_age4,age_15,age_16,age_17,age_18,age_19,total_age5,age_20,age_21,age_22,age_23,age_24,total_age6,age_25,age_26,age_27,age_28,age_29,total_age7,age_30,age_31,age_32,age_33,age_34,total_age8,age_35,age_36,age_37,age_38,age_39,total_age9,age_40,age_41,age_42,age_43,age_44,total_age10,age_45,age_46,age_47,age_48,age_49,total_age11,age_50,age_51,age_52,age_53,age_54,total_age12,age_55,age_56,age_57,age_58,age_59,total_age13,age_60,age_61,age_62,age_63,age_64,total_age14,age_65,age_66,age_67,age_68,age_69,total_age15,age_70,age_71,age_72,age_73,age_74,total_age16,age_75,age_76,age_77,age_78,age_79,total_age17,age_80,age_81,age_82,age_83,age_84,total_age18,age_85,age_86,age_87,age_88,age_89,total_age19,age_90,age_91,age_92,age_93,age_94,total_age20,age_95,age_96,age_97,age_98,age_99,total_age21
新竹市,總計,計,447781,24334,3831,4500,4746,5427,5830,27346,5690,5912,5983,4949,4812,25296,5152,5331,4976,4953,4884,26268,4807,5058,5141,5728,5534,27467,5187,5209,5772,5794,5505,27666,5436,5569,5431,5547,5683,29530,5664,5623,5670,5869,6704,41497,7365,7804,8457,8889,8982,41455,8752,8381,8697,8166,7459,34772,7032,6874,6997,6998,6871,32176,6963,6512,6155,6268,6278,29298,6056,6098,5971,5603,5570,25585,5573,5215,4782,4995,5020,20787,4591,4414,4350,4035,3397,12117,3244,2609,2538,1790,1936,9428,2063,1976,1956,1750,1683,6385,1562,1351,1331,1095,1046,3872,888,844,773,706,661,1937,531,495,371,297,243,495,184,136,73,68,34,70
新竹市,總計,男,220780,12490,1961,2311,2377,2787,3054,14195,2937,3051,3138,2570,2499,13296,2751,2875,2544,2606,2520,13673,2522,2627,2708,2974,2842,14232,2705,2703,3020,2954,2850,14243,2786,2847,2794,2902,2914,14628,2873,2826,2813,2903,3213,19882,3538,3714,4085,4228,4317,20096,4152,4026,4230,3981,3707,17043,3495,3340,3418,3443,3347,15942,3382,3264,3070,3111,3115,14408,3029,2999,2981,2730,2669,12144,2693,2554,2182,2335,2380,9679,2186,2074,1996,1867,1556,5498,1488,1207,1188,789,826,3923,883,846,812,712,670,2544,630,543,525,427,419,1658,348,335,357,315,303,941,235,239,185,162,120,232,88,63,30,33,18,33
新竹市,總計,女,227001,11844,1870,2189,2369,2640,2776,13151,2753,2861,2845,2379,2313,12000,2401,2456,2432,2347,2364,12595,2285,2431,2433,2754,2692,13235,2482,2506,2752,2840,2655,13423,2650,2722,2637,2645,2769,14902,2791,2797,2857,2966,3491,21615,3827,4090,4372,4661,4665,21359,4600,4355,4467,4185,3752,17729,3537,3534,3579,3555,3524,16234,3581,3248,3085,3157,3163,14890,3027,3099,2990,2873,2901,13441,2880,2661,2600,2660,2640,11108,2405,2340,2354,2168,1841,6619,1756,1402,1350,1001,1110,5505,1180,1130,1144,1038,1013,3841,932,808,806,668,627,2214,540,509,416,391,358,996,296,256,186,135,123,263,96,73,43,35,16,37
新竹市,東區,計,217098,12806,1922,2269,2477,2986,3152,15866,3192,3346,3437,2975,2916,14944,3172,3238,3071,2815,2648,13029,2500,2544,2565,2770,2650,12460,2427,2427,2642,2540,2424,12222,2397,2538,2326,2470,2491,13621,2624,2544,2650,2698,3105,19843,3370,3690,4085,4284,4414,20787,4336,4202,4348,4153,3748,16799,3427,3356,3372,3412,3232,14903,3323,3008,2851,2832,2889,13094,2787,2713,2641,2501,2452,11498,2518,2356,2164,2229,2231,9234,1949,1976,1965,1814,1530,5504,1489,1170,1153,820,872,4330,929,899,903,793,806,3068,722,656,672,525,493,1843,411,410,367,339,316,951,270,246,172,147,116,258,86,73,41,39,19,38
新竹市,東區,男,106647,6535,981,1139,1226,1542,1647,8269,1679,1727,1813,1537,1513,7893,1694,1764,1573,1491,1371,6717,1302,1287,1319,1443,1366,6451,1262,1273,1369,1311,1236,6293,1227,1307,1185,1274,1300,6625,1330,1256,1292,1301,1446,9359,1590,1748,1967,1979,2075,9790,1939,1945,2060,2014,1832,8141,1683,1616,1614,1666,1562,7434,1631,1553,1408,1389,1453,6502,1379,1335,1317,1259,1212,5478,1221,1146,1008,1034,1069,4313,936,960,916,812,689,2459,662,538,529,360,370,1776,392,374,356,314,340,1208,283,269,251,197,208,799,158,169,176,149,147,464,118,121,86,77,62,119,36,38,19,15,11,22
新竹市,東區,女,110451,6271,941,1130,1251,1444,1505,7597,1513,1619,1624,1438,1403,7051,1478,1474,1498,1324,1277,6312,1198,1257,1246,1327,1284,6009,1165,1154,1273,1229,1188,5929,1170,1231,1141,1196,1191,6996,1294,1288,1358,1397,1659,10484,1780,1942,2118,2305,2339,10997,2397,2257,2288,2139,1916,8658,1744,1740,1758,1746,1670,7469,1692,1455,1443,1443,1436,6592,1408,1378,1324,1242,1240,6020,1297,1210,1156,1195,1162,4921,1013,1016,1049,1002,841,3045,827,632,624,460,502,2554,537,525,547,479,466,1860,439,387,421,328,285,1044,253,241,191,190,169,487,152,125,86,70,54,139,50,35,22,24,8,16
新竹市,北區,計,152123,7483,1175,1456,1458,1597,1797,8233,1693,1840,1854,1460,1386,7228,1420,1526,1351,1465,1466,8541,1462,1635,1691,1861,1892,9603,1796,1770,1984,2099,1954,9705,1945,1883,1944,1903,2030,10156,1952,1953,1922,2029,2300,13938,2557,2627,2799,2982,2973,13549,2877,2677,2927,2638,2430,11751,2301,2292,2416,2337,2405,11408,2393,2355,2180,2276,2204,10510,2104,2202,2151,2030,2023,9392,2009,1935,1747,1832,1869,7834,1757,1590,1661,1530,1296,4559,1216,1006,960,676,701,3567,803,742,714,672,636,2302,556,496,455,416,379,1434,309,317,284,265,259,740,199,181,143,119,98,177,69,47,25,22,14,13
新竹市,北區,男,74264,3860,609,777,738,810,926,4227,840,936,979,753,719,3786,767,816,673,767,763,4444,750,852,911,970,961,4930,925,893,1031,1041,1040,5028,1008,961,1005,1007,1047,5068,986,993,946,1012,1131,6565,1216,1201,1335,1391,1422,6584,1408,1275,1422,1281,1198,5687,1124,1085,1165,1147,1166,5537,1134,1128,1086,1116,1073,5075,1075,1063,1069,958,910,4373,954,955,764,838,862,3612,818,722,749,722,601,2055,559,461,447,301,287,1451,345,317,287,270,232,920,229,197,179,166,149,594,116,120,119,123,116,369,89,85,79,68,48,93,41,20,10,16,6,6
新竹市,北區,女,77859,3623,566,679,720,787,871,4006,853,904,875,707,667,3442,653,710,678,698,703,4097,712,783,780,891,931,4673,871,877,953,1058,914,4677,937,922,939,896,983,5088,966,960,976,1017,1169,7373,1341,1426,1464,1591,1551,6965,1469,1402,1505,1357,1232,6064,1177,1207,1251,1190,1239,5871,1259,1227,1094,1160,1131,5435,1029,1139,1082,1072,1113,5019,1055,980,983,994,1007,4222,939,868,912,808,695,2504,657,545,513,375,414,2116,458,425,427,402,404,1382,327,299,276,250,230,840,193,197,165,142,143,371,110,96,64,51,50,84,28,27,15,6,8,7
新竹市,香山區,計,78560,4045,734,775,811,844,881,3247,805,726,692,514,510,3124,560,567,554,673,770,4698,845,879,885,1097,992,5404,964,1012,1146,1155,1127,5739,1094,1148,1161,1174,1162,5753,1088,1126,1098,1142,1299,7716,1438,1487,1573,1623,1595,7119,1539,1502,1422,1375,1281,6222,1304,1226,1209,1249,1234,5865,1247,1149,1124,1160,1185,5694,1165,1183,1179,1072,1095,4695,1046,924,871,934,920,3719,885,848,724,691,571,2054,539,433,425,294,363,1531,331,335,339,285,241,1015,284,199,204,154,174,595,168,117,122,102,86,246,62,68,56,31,29,60,29,16,7,7,1,19
新竹市,香山區,男,39869,2095,371,395,413,435,481,1699,418,388,346,280,267,1617,290,295,298,348,386,2512,470,488,478,561,515,2851,518,537,620,602,574,2922,551,579,604,621,567,2935,557,577,575,590,636,3958,732,765,783,858,820,3722,805,806,748,686,677,3215,688,639,639,630,619,2971,617,583,576,606,589,2831,575,601,595,513,547,2293,518,453,410,463,449,1754,432,392,331,333,266,984,267,208,212,128,169,696,146,155,169,128,98,416,118,77,95,64,62,265,74,46,62,43,40,108,28,33,20,17,10,20,11,5,1,2,1,5
新竹市,香山區,女,38691,1950,363,380,398,409,400,1548,387,338,346,234,243,1507,270,272,256,325,384,2186,375,391,407,536,477,2553,446,475,526,553,553,2817,543,569,557,553,595,2818,531,549,523,552,663,3758,706,722,790,765,775,3397,734,696,674,689,604,3007,616,587,570,619,615,2894,630,566,548,554,596,2863,590,582,584,559,548,2402,528,471,461,471,471,1965,453,456,393,358,305,1070,272,225,213,166,194,835,185,180,170,157,143,599,166,122,109,90,112,330,94,71,60,59,46,138,34,35,36,14,19,40,18,11,6,5,0,14
