"city","area","gender","total","age_4","age_9","age_14","age_19","age_24","age_29","age_34","age_39","age_44","age_49","age_54","age_59","age_64","age_69","age_74","age_79","age_84","age_89","age_94","age_99","age_100"
"新竹市","東區","計","216,430","13,011","15,672","14,860","13,266","12,459","12,185","13,680","20,083","20,408","16,891","14,730","13,024","11,320","9,052","5,341","4,326","3,026","1,882","934",240,40
"新竹市","東區","男","106,300","6,671","8,131","7,842","6,815","6,477","6,266","6,651","9,405","9,627","8,220","7,358","6,504","5,385","4,205","2,376","1,764","1,187","829","452",114,21
"新竹市","東區","女","110,130","6,340","7,541","7,018","6,451","5,982","5,919","7,029","10,678","10,781","8,671","7,372","6,520","5,935","4,847","2,965","2,562","1,839","1,053","482",126,19
"新竹市","北區","計","151,828","7,610","8,171","7,251","8,654","9,628","9,597","10,376","14,073","13,257","11,860","11,192","10,487","9,319","7,716","4,430","3,538","2,272","1,469","742",173,13
"新竹市","北區","男","74,159","3,879","4,237","3,793","4,515","4,941","5,005","5,136","6,610","6,436","5,771","5,453","5,053","4,340","3,563","1,975","1,442","901","633","383",86,7
"新竹市","北區","女","77,669","3,731","3,934","3,458","4,139","4,687","4,592","5,240","7,463","6,821","6,089","5,739","5,434","4,979","4,153","2,455","2,096","1,371","836","359",87,6
"新竹市","香山區","計","78,309","4,164","3,227","3,147","4,726","5,368","5,738","5,872","7,728","7,064","6,175","5,754","5,671","4,631","3,603","1,997","1,536","997","588","247",58,18
"新竹市","香山區","男","39,760","2,168","1,681","1,639","2,518","2,822","2,911","2,990","3,972","3,706","3,178","2,933","2,804","2,265","1,705","952","700","420","265","107",18,6
"新竹市","香山區","女","38,549","1,996","1,546","1,508","2,208","2,546","2,827","2,882","3,756","3,358","2,997","2,821","2,867","2,366","1,898","1,045","836","577","323","140",40,12
"新竹縣","竹北市","計","188818","13591","15561","13618","11524","10532","9859","12154","19803","21191","16963","12286","9642","7360","5521","3237","2752","1762","951","424",73,14
