"city","area","gender","total","age_4","age_9","age_14","age_19","age_24","age_29","age_34","age_39","age_44","age_49","age_54","age_59","age_64","age_69","age_74","age_79","age_84","age_89","age_94","age_99","age_100"
"新竹市","東區","計",216966,12875,15847,14889,13122,12436,12223,13658,19905,20705,16807,14846,13101,11435,9205,5433,4340,3052,1856,934,260,37
"新竹市","東區","男",106566,6585,8244,7867,6763,6445,6289,6638,9361,9742,8160,7418,6488,5459,4301,2415,1790,1198,807,455,119,22
"新竹市","東區","女",110400,6290,7603,7022,6359,5991,5934,7020,10544,10963,8647,7428,6613,5976,4904,3018,2550,1854,1049,479,141,15
"新竹市","北區","計",152025,7520,8207,7224,8549,9608,9701,10201,13948,13468,11786,11385,10497,9388,7789,4526,3578,2279,1439,740,180,12
"新竹市","北區","男",74238,3869,4223,3791,4433,4930,5033,5102,6571,6554,5706,5534,5048,4379,3587,2036,1464,908,602,368,94,6
"新竹市","北區","女",77787,3651,3984,3433,4116,4678,4668,5099,7377,6914,6080,5851,5449,5009,4202,2490,2114,1371,837,372,86,6
"新竹市","香山區","計",78493,4053,3249,3121,4711,5384,5738,5808,7705,7090,6231,5835,5677,4689,3692,2049,1537,1008,595,243,60,18
"新竹市","香山區","男",39827,2100,1696,1610,2524,2843,2911,2961,3960,3702,3230,2955,2812,2289,1743,982,695,420,262,108,19,5
"新竹市","香山區","女",38666,1953,1553,1511,2187,2541,2827,2847,3745,3388,3001,2880,2865,2400,1949,1067,842,588,333,135,41,13
"新竹縣","竹北市","計",191594,13789,15831,13875,11542,10626,10061,12336,19852,21567,17287,12540,9795,7474,5629,3331,2782,1808,964,414,77,14
"新竹縣","竹北市","男",95354,7203,8156,7211,6082,5544,5175,6056,9334,10164,8683,6310,4884,3647,2625,1578,1266,803,404,198,27,4
"新竹縣","竹北市","女",96240,6586,7675,6664,5460,5082,4886,6280,10518,11403,8604,6230,4911,3827,3004,1753,1516,1005,560,216,50,10
"新竹縣","關西鎮","計",28161,711,894,1132,1625,2001,1878,1559,1824,1899,2117,2337,2325,1977,1609,973,1263,1080,642,244,62,9
"新竹縣","關西鎮","男",15111,400,459,600,868,1036,1016,883,926,1004,1181,1337,1367,1116,868,485,630,514,297,96,25,3
"新竹縣","關西鎮","女",13050,311,435,532,757,965,862,676,898,895,936,1000,958,861,741,488,633,566,345,148,37,6
"新竹縣","新埔鎮","計",32923,1156,930,1033,1731,2269,2528,2265,2445,2264,2194,2478,2747,2587,2007,1187,1192,1000,610,246,49,5
"新竹縣","新埔鎮","男",17509,604,499,532,890,1207,1384,1245,1379,1253,1180,1331,1496,1394,1072,605,581,448,280,111,17,1
"新竹縣","新埔鎮","女",15414,552,431,501,841,1062,1144,1020,1066,1011,1014,1147,1251,1193,935,582,611,552,330,135,32,4
"新竹縣","竹東鎮","計",96794,4145,4722,4919,6219,6933,6920,6543,8199,7791,7564,7119,6944,5607,4361,2708,2509,1975,1095,405,103,13
"新竹縣","竹東鎮","男",48615,2127,2402,2557,3318,3604,3603,3436,4094,3799,3714,3640,3485,2788,2077,1290,1145,838,471,179,42,6
"新竹縣","竹東鎮","女",48179,2018,2320,2362,2901,3329,3317,3107,4105,3992,3850,3479,3459,2819,2284,1418,1364,1137,624,226,61,7
"新竹縣","湖口鄉","計",77722,3190,3931,3937,4753,5805,5792,5383,6788,6449,5796,5820,5676,4603,3458,2031,1765,1303,766,385,84,7
"新竹縣","湖口鄉","男",39346,1694,2020,2070,2492,3020,3141,2728,3355,3265,2897,2900,2822,2328,1681,892,806,570,420,205,37,3
"新竹縣","湖口鄉","女",38376,1496,1911,1867,2261,2785,2651,2655,3433,3184,2899,2920,2854,2275,1777,1139,959,733,346,180,47,4
"新竹縣","橫山鄉","計",12831,394,393,424,670,906,888,742,844,841,882,1025,1054,947,787,548,602,462,253,131,33,5
"新竹縣","橫山鄉","男",6952,207,202,220,355,474,500,396,485,464,497,609,624,529,445,284,293,205,100,53,8,2
"新竹縣","橫山鄉","女",5879,187,191,204,315,432,388,346,359,377,385,416,430,418,342,264,309,257,153,78,25,3
"新竹縣","新豐鄉","計",57208,2604,3405,3099,3536,4195,4201,3838,5239,5054,4344,4087,3999,3197,2368,1334,1169,788,499,214,34,4
"新竹縣","新豐鄉","男",29321,1328,1772,1633,1875,2208,2292,2005,2606,2527,2264,2081,2068,1603,1190,640,518,365,233,95,17,1
"新竹縣","新豐鄉","女",27887,1276,1633,1466,1661,1987,1909,1833,2633,2527,2080,2006,1931,1594,1178,694,651,423,266,119,17,3
"新竹縣","芎林鄉","計",19948,686,612,636,1205,1577,1546,1326,1405,1365,1443,1589,1672,1392,1130,667,683,529,318,144,19,4
"新竹縣","芎林鄉","男",10546,381,310,341,618,810,836,740,748,668,781,850,920,764,597,350,364,255,148,59,5,1
"新竹縣","芎林鄉","女",9402,305,302,295,587,767,710,586,657,697,662,739,752,628,533,317,319,274,170,85,14,3
"新竹縣","寶山鄉","計",14585,478,376,343,814,1163,1176,984,1083,1061,1158,1347,1351,1011,743,388,453,330,207,97,22,0
"新竹縣","寶山鄉","男",7912,267,207,175,406,610,650,540,588,578,606,767,762,604,399,226,230,163,90,34,10,0
"新竹縣","寶山鄉","女",6673,211,169,168,408,553,526,444,495,483,552,580,589,407,344,162,223,167,117,63,12,0
"新竹縣","北埔鄉","計",9227,263,267,296,533,685,666,556,570,608,668,741,778,640,513,366,441,341,203,65,24,3
"新竹縣","北埔鄉","男",5009,130,151,158,277,352,354,313,310,338,373,426,480,385,272,175,233,165,87,23,7,0
"新竹縣","北埔鄉","女",4218,133,116,138,256,333,312,243,260,270,295,315,298,255,241,191,208,176,116,42,17,3
"新竹縣","峨眉鄉","計",5514,203,106,92,244,333,366,321,331,307,368,445,488,461,371,249,327,255,158,69,18,2
"新竹縣","峨眉鄉","男",3035,107,51,55,140,178,186,171,171,163,200,262,306,293,224,140,160,129,67,21,9,2
"新竹縣","峨眉鄉","女",2479,96,55,37,104,155,180,150,160,144,168,183,182,168,147,109,167,126,91,48,9,0
"新竹縣","尖石鄉","計",9583,686,568,569,719,831,753,655,784,733,658,656,597,536,350,186,139,90,52,15,4,2
"新竹縣","尖石鄉","男",5014,361,281,300,356,435,384,370,420,409,361,337,317,281,167,105,68,37,19,5,0,1
"新竹縣","尖石鄉","女",4569,325,287,269,363,396,369,285,364,324,297,319,280,255,183,81,71,53,33,10,4,1
"新竹縣","五峰鄉","計",4629,260,184,159,265,329,319,304,388,375,338,413,399,359,247,109,99,52,20,10,0,0
"新竹縣","五峰鄉","男",2498,138,88,83,131,179,173,162,223,225,194,223,209,184,148,52,46,27,8,5,0,0
"新竹縣","五峰鄉","女",2131,122,96,76,134,150,146,142,165,150,144,190,190,175,99,57,53,25,12,5,0,0
