city,area,gender,total,total_age1,age_0,age_1,age_2,age_3,age_4,total_age2,age_5,age_6,age_7,age_8,age_9,total_age3,age_10,age_11,age_12,age_13,age_14,total_age4,age_15,age_16,age_17,age_18,age_19,total_age5,age_20,age_21,age_22,age_23,age_24,total_age6,age_25,age_26,age_27,age_28,age_29,total_age7,age_30,age_31,age_32,age_33,age_34,total_age8,age_35,age_36,age_37,age_38,age_39,total_age9,age_40,age_41,age_42,age_43,age_44,total_age10,age_45,age_46,age_47,age_48,age_49,total_age11,age_50,age_51,age_52,age_53,age_54,total_age12,age_55,age_56,age_57,age_58,age_59,total_age13,age_60,age_61,age_62,age_63,age_64,total_age14,age_65,age_66,age_67,age_68,age_69,total_age15,age_70,age_71,age_72,age_73,age_74,total_age16,age_75,age_76,age_77,age_78,age_79,total_age17,age_80,age_81,age_82,age_83,age_84,total_age18,age_85,age_86,age_87,age_88,age_89,total_age19,age_90,age_91,age_92,age_93,age_94,total_age20,age_95,age_96,age_97,age_98,age_99,total_age21
新竹市,總計,計,447484,24448,3826,4510,4786,5414,5912,27303,5546,6085,5880,4866,4926,25234,5078,5380,4967,4934,4875,26382,4799,5117,5168,5774,5524,27428,5123,5298,5772,5767,5468,27662,5531,5550,5349,5617,5615,29667,5744,5604,5609,5930,6780,41558,7332,7883,8474,8885,8984,41263,8762,8265,8798,7981,7457,34824,7000,6840,7034,7003,6947,32066,6917,6439,6136,6296,6278,29275,6068,6086,5951,5592,5578,25512,5578,5162,4858,4915,4999,20686,4592,4394,4343,3993,3364,12008,3219,2587,2512,1730,1960,9455,2069,1999,1907,1777,1703,6339,1557,1359,1299,1093,1031,3890,892,858,765,712,663,1917,534,474,373,300,236,500,192,135,74,63,36,67
新竹市,總計,男,220631,12554,1941,2324,2432,2776,3081,14163,2864,3136,3083,2521,2559,13268,2714,2898,2546,2584,2526,13720,2501,2685,2676,3020,2838,14218,2695,2725,3024,2937,2837,14233,2799,2861,2763,2945,2865,14701,2929,2820,2780,2903,3269,19892,3519,3752,4092,4241,4288,19998,4189,3947,4279,3896,3687,17096,3495,3318,3444,3460,3379,15907,3363,3247,3028,3128,3141,14348,3023,2982,2958,2722,2663,12127,2725,2523,2201,2326,2352,9631,2190,2053,2002,1856,1530,5433,1465,1209,1167,772,820,3949,898,848,797,720,686,2526,633,542,514,424,413,1671,349,349,355,319,299,931,237,227,189,161,117,232,91,62,31,30,18,33
新竹市,總計,女,226853,11894,1885,2186,2354,2638,2831,13140,2682,2949,2797,2345,2367,11966,2364,2482,2421,2350,2349,12662,2298,2432,2492,2754,2686,13210,2428,2573,2748,2830,2631,13429,2732,2689,2586,2672,2750,14966,2815,2784,2829,3027,3511,21666,3813,4131,4382,4644,4696,21265,4573,4318,4519,4085,3770,17728,3505,3522,3590,3543,3568,16159,3554,3192,3108,3168,3137,14927,3045,3104,2993,2870,2915,13385,2853,2639,2657,2589,2647,11055,2402,2341,2341,2137,1834,6575,1754,1378,1345,958,1140,5506,1171,1151,1110,1057,1017,3813,924,817,785,669,618,2219,543,509,410,393,364,986,297,247,184,139,119,268,101,73,43,33,18,34
新竹市,東區,計,216966,12875,1935,2287,2502,2941,3210,15847,3122,3423,3394,2927,2981,14889,3110,3266,3058,2829,2626,13122,2516,2563,2579,2813,2651,12436,2385,2475,2641,2527,2408,12223,2478,2488,2318,2482,2457,13658,2658,2547,2592,2739,3122,19905,3387,3707,4105,4287,4419,20705,4337,4150,4403,4058,3757,16807,3394,3349,3395,3405,3264,14846,3297,2979,2839,2866,2865,13101,2793,2713,2637,2496,2462,11435,2502,2354,2178,2186,2215,9205,1961,1975,1946,1799,1524,5433,1453,1178,1135,798,869,4340,927,913,880,812,808,3052,729,667,639,527,490,1856,414,416,365,338,323,934,263,233,174,152,112,260,87,72,44,37,20,37
新竹市,東區,男,106566,6585,974,1152,1261,1527,1671,8244,1631,1762,1791,1508,1552,7867,1658,1781,1582,1479,1367,6763,1308,1318,1304,1473,1360,6445,1246,1287,1375,1301,1236,6289,1253,1286,1183,1306,1261,6638,1348,1260,1264,1303,1463,9361,1586,1777,1965,1976,2057,9742,1952,1912,2083,1969,1826,8160,1684,1612,1624,1668,1572,7418,1633,1539,1384,1415,1447,6488,1384,1325,1315,1251,1213,5459,1223,1140,1009,1033,1054,4301,943,955,905,808,690,2415,641,544,513,357,360,1790,395,373,355,317,350,1198,284,272,237,200,205,807,158,174,178,150,147,455,114,116,88,77,60,119,37,37,19,15,11,22
新竹市,東區,女,110400,6290,961,1135,1241,1414,1539,7603,1491,1661,1603,1419,1429,7022,1452,1485,1476,1350,1259,6359,1208,1245,1275,1340,1291,5991,1139,1188,1266,1226,1172,5934,1225,1202,1135,1176,1196,7020,1310,1287,1328,1436,1659,10544,1801,1930,2140,2311,2362,10963,2385,2238,2320,2089,1931,8647,1710,1737,1771,1737,1692,7428,1664,1440,1455,1451,1418,6613,1409,1388,1322,1245,1249,5976,1279,1214,1169,1153,1161,4904,1018,1020,1041,991,834,3018,812,634,622,441,509,2550,532,540,525,495,458,1854,445,395,402,327,285,1049,256,242,187,188,176,479,149,117,86,75,52,141,50,35,25,22,9,15
新竹市,北區,計,152025,7520,1172,1457,1454,1630,1807,8207,1643,1904,1808,1424,1428,7224,1416,1527,1357,1442,1482,8549,1436,1667,1696,1866,1884,9608,1770,1797,2002,2080,1959,9701,1932,1912,1896,1938,2023,10201,1976,1928,1944,2022,2331,13948,2521,2692,2806,2971,2958,13468,2909,2608,2970,2574,2407,11786,2321,2257,2442,2337,2429,11385,2393,2329,2180,2261,2222,10497,2096,2205,2149,2018,2029,9388,2019,1903,1787,1824,1855,7789,1749,1580,1670,1498,1292,4526,1226,976,963,641,720,3578,808,750,701,677,642,2279,550,495,459,413,362,1439,319,314,281,269,256,740,207,177,146,116,94,180,76,47,22,21,14,12
新竹市,北區,男,74238,3869,604,780,747,815,923,4223,830,968,953,739,733,3791,774,808,669,767,773,4433,720,877,892,989,955,4930,925,908,1027,1042,1028,5033,994,993,989,1013,1044,5102,1008,981,954,1006,1153,6571,1197,1218,1344,1402,1410,6554,1447,1226,1446,1250,1185,5706,1127,1065,1190,1149,1175,5534,1125,1133,1074,1107,1095,5048,1060,1071,1048,958,911,4379,976,933,769,853,848,3587,819,707,762,711,588,2036,554,454,455,282,291,1464,357,314,284,272,237,908,227,192,187,161,141,602,122,122,119,122,117,368,90,82,82,68,46,94,44,20,9,15,6,6
新竹市,北區,女,77787,3651,568,677,707,815,884,3984,813,936,855,685,695,3433,642,719,688,675,709,4116,716,790,804,877,929,4678,845,889,975,1038,931,4668,938,919,907,925,979,5099,968,947,990,1016,1178,7377,1324,1474,1462,1569,1548,6914,1462,1382,1524,1324,1222,6080,1194,1192,1252,1188,1254,5851,1268,1196,1106,1154,1127,5449,1036,1134,1101,1060,1118,5009,1043,970,1018,971,1007,4202,930,873,908,787,704,2490,672,522,508,359,429,2114,451,436,417,405,405,1371,323,303,272,252,221,837,197,192,162,147,139,372,117,95,64,48,48,86,32,27,13,6,8,6
新竹市,香山區,計,78493,4053,719,766,830,843,895,3249,781,758,678,515,517,3121,552,587,552,663,767,4711,847,887,893,1095,989,5384,968,1026,1129,1160,1101,5738,1121,1150,1135,1197,1135,5808,1110,1129,1073,1169,1327,7705,1424,1484,1563,1627,1607,7090,1516,1507,1425,1349,1293,6231,1285,1234,1197,1261,1254,5835,1227,1131,1117,1169,1191,5677,1179,1168,1165,1078,1087,4689,1057,905,893,905,929,3692,882,839,727,696,548,2049,540,433,414,291,371,1537,334,336,326,288,253,1008,278,197,201,153,179,595,159,128,119,105,84,243,64,64,53,32,30,60,29,16,8,5,2,18
新竹市,香山區,男,39827,2100,363,392,424,434,487,1696,403,406,339,274,274,1610,282,309,295,338,386,2524,473,490,480,558,523,2843,524,530,622,594,573,2911,552,582,591,626,560,2961,573,579,562,594,653,3960,736,757,783,863,821,3702,790,809,750,677,676,3230,684,641,630,643,632,2955,605,575,570,606,599,2812,579,586,595,513,539,2289,526,450,423,440,450,1743,428,391,335,337,252,982,270,211,199,133,169,695,146,161,158,131,99,420,122,78,90,63,67,262,69,53,58,47,35,108,33,29,19,16,11,19,10,5,3,0,1,5
新竹市,香山區,女,38666,1953,356,374,406,409,408,1553,378,352,339,241,243,1511,270,278,257,325,381,2187,374,397,413,537,466,2541,444,496,507,566,528,2827,569,568,544,571,575,2847,537,550,511,575,674,3745,688,727,780,764,786,3388,726,698,675,672,617,3001,601,593,567,618,622,2880,622,556,547,563,592,2865,600,582,570,565,548,2400,531,455,470,465,479,1949,454,448,392,359,296,1067,270,222,215,158,202,842,188,175,168,157,154,588,156,119,111,90,112,333,90,75,61,58,49,135,31,35,34,16,19,41,19,11,5,5,1,13
