"city","area","gender","total","age_4","age_9","age_14","age_19","age_24","age_29","age_34","age_39","age_44","age_49","age_54","age_59","age_64","age_69","age_74","age_79","age_84","age_89","age_94","age_99","age_100"
"新竹市","東區","計","217,841","12,636","15,975","15,006","12,995","12,425","12,349","13,411","19,615","20,999","16,981","14,976","13,252","11,527","9,423","5,666","4,361","3,123","1,838","981",258,44
"新竹市","東區","男","107,064","6,474","8,329","7,915","6,715","6,457","6,348","6,583","9,251","9,870","8,277","7,400","6,588","5,513","4,410","2,522","1,781","1,222","802","464",120,23
"新竹市","東區","女","110,777","6,162","7,646","7,091","6,280","5,968","6,001","6,828","10,364","11,129","8,704","7,576","6,664","6,014","5,013","3,144","2,580","1,901","1,036","517",138,21
"新竹市","北區","計","152,351","7,276","8,337","7,218","8,465","9,542","9,696","10,036","13,710","13,770","11,754","11,531","10,552","9,391","8,020","4,699","3,623","2,347","1,421","772",177,14
"新竹市","北區","男","74,305","3,755","4,280","3,736","4,395","4,910","5,040","5,003","6,463","6,671","5,703","5,593","5,104","4,361","3,696","2,123","1,498","921","578","374",94,7
"新竹市","北區","女","78,046","3,521","4,057","3,482","4,070","4,632","4,656","5,033","7,247","7,099","6,051","5,938","5,448","5,030","4,324","2,576","2,125","1,426","843","398",83,7
"新竹市","香山區","計","78,611","3,914","3,293","3,058","4,711","5,327","5,770","5,622","7,590","7,311","6,213","5,819","5,781","4,703","3,881","2,100","1,566","1,009","610","259",58,16
"新竹市","香山區","男","39,896","2,022","1,727","1,602","2,523","2,788","2,948","2,895","3,873","3,802","3,236","2,942","2,879","2,286","1,840","1,000","716","414","259","118",20,6
"新竹市","香山區","女","38,715","1,892","1,566","1,456","2,188","2,539","2,822","2,727","3,717","3,509","2,977","2,877","2,902","2,417","2,041","1,100","850","595","351","141",38,10
"新竹縣","竹北市","計","194516","13807","16100","14238","11648","10641","10303","12301","19641","22061","17678","12986","10085","7636","5776","3445","2809","1839","1002","423",81,16
"新竹縣","竹北市","男","96785","7226","8277","7414","6105","5583","5275","6117","9232","10319","8843","6542","5036","3752","2681","1620","1296","816","416","203",27,5
"新竹縣","竹北市","女","97731","6581","7823","6824","5543","5058","5028","6184","10409","11742","8835","6444","5049","3884","3095","1825","1513","1023","586","220",54,11
"新竹縣","關西鎮","計","28055","726","893","1098","1623","1932","1886","1564","1809","1854","2102","2351","2331","1987","1581","1020","1240","1075","651","251",68,13
"新竹縣","關西鎮","男","15058","415","443","598","860","1002","1005","882","924","975","1168","1345","1377","1127","856","508","618","518","299","107",26,5
"新竹縣","關西鎮","女","12997","311","450","500","763","930","881","682","885","879","934","1006","954","860","725","512","622","557","352","144",42,8
"新竹縣","新埔鎮","計","32798","1095","931","990","1705","2201","2570","2218","2425","2313","2157","2474","2777","2571","2052","1214","1176","1006","611","254",50,8
"新竹縣","新埔鎮","男","17460","560","506","508","882","1169","1412","1224","1374","1278","1151","1354","1504","1391","1085","631","568","449","274","119",20,1
"新竹縣","新埔鎮","女","15338","535","425","482","823","1032","1158","994","1051","1035","1006","1120","1273","1180","967","583","608","557","337","135",30,7
"新竹縣","竹東鎮","計","97127","4138","4737","4848","6091","6888","6963","6556","8200","7941","7489","7172","7008","5689","4468","2785","2486","1990","1134","426",103,15
"新竹縣","竹東鎮","男","48800","2137","2400","2546","3229","3627","3596","3444","4131","3853","3701","3654","3520","2818","2123","1334","1126","858","475","178",44,6
"新竹縣","竹東鎮","女","48327","2001","2337","2302","2862","3261","3367","3112","4069","4088","3788","3518","3488","2871","2345","1451","1360","1132","659","248",59,9
"新竹縣","湖口鄉","計","77908","3085","3968","3915","4720","5622","5912","5338","6709","6633","5784","5853","5725","4695","3522","2049","1800","1324","753","405",88,8
"新竹縣","湖口鄉","男","39425","1626","2029","2065","2485","2914","3189","2751","3306","3356","2906","2899","2847","2376","1712","907","823","572","405","214",40,3
"新竹縣","湖口鄉","女","38483","1459","1939","1850","2235","2708","2723","2587","3403","3277","2878","2954","2878","2319","1810","1142","977","752","348","191",48,5
"新竹縣","橫山鄉","計","12789","382","380","429","661","886","900","725","839","828","857","1050","1044","957","806","534","605","476","258","128",39,5
"新竹縣","橫山鄉","男","6916","202","193","219","351","466","504","397","468","454","480","627","612","541","455","271","298","211","103","52",10,2
"新竹縣","橫山鄉","女","5873","180","187","210","310","420","396","328","371","374","377","423","432","416","351","263","307","265","155","76",29,3
