"city","area","gender","total","age_4","age_9","age_14","age_19","age_24","age_29","age_34","age_39","age_44","age_49","age_54","age_59","age_64","age_69","age_74","age_79","age_84","age_89","age_94","age_99","age_100"
"新竹市","東區","計","215,897","13,060","15,611","14,734","13,318","12,461","12,191","13,711","20,141","20,212","16,906","14,694","12,935","11,280","9,013","5,195","4,348","3,005","1,875",926,237,44
"新竹市","東區","男","106,058","6,717","8,077","7,798","6,835","6,459","6,285","6,654","9,418","9,578","8,193","7,360","6,449","5,366","4,195","2,311","1,767","1,175","825",456,118,22
"新竹市","東區","女","109,839","6,343","7,534","6,936","6,483","6,002","5,906","7,057","10,723","10,634","8,713","7,334","6,486","5,914","4,818","2,884","2,581","1,830","1,050",470,119,22
"新竹市","北區","計","151,714","7,686","8,139","7,268","8,735","9,618","9,550","10,457","14,118","13,229","11,805","11,160","10,523","9,293","7,608","4,346","3,525","2,246","1,480",744,170,14
"新竹市","北區","男","74,117","3,928","4,227","3,786","4,550","4,946","4,983","5,168","6,652","6,417","5,706","5,479","5,071","4,299","3,520","1,932","1,435","896","642",387,85,8
"新竹市","北區","女","77,597","3,758","3,912","3,482","4,185","4,672","4,567","5,289","7,466","6,812","6,099","5,681","5,452","4,994","4,088","2,414","2,090","1,350","838",357,85,6
"新竹市","香山區","計","78,379","4,205","3,218","3,183","4,736","5,384","5,746","5,961","7,756","7,048","6,161","5,783","5,654","4,634","3,530","1,952","1,537","983","585",251,55,17
"新竹市","香山區","男","39,783","2,177","1,675","1,653","2,536","2,831","2,919","3,026","3,990","3,695","3,145","2,965","2,771","2,291","1,677","919","702","414","262",113,16,6
"新竹市","香山區","女","38,596","2,028","1,543","1,530","2,200","2,553","2,827","2,935","3,766","3,353","3,016","2,818","2,883","2,343","1,853","1,033","835","569","323",138,39,11
"新竹縣","竹北市","計","187867","13606","15455","13565","11518","10464","9734","12197","19808","21086","16808","12176","9577","7275","5505","3169","2717","1763","934",425,73,12
"新竹縣","竹北市","男","93472","7062","7961","7119","6050","5415","5030","5952","9219","9983","8518","6112","4782","3542","2584","1504","1233","778","400",198,26,4
"新竹縣","竹北市","女","94395","6544","7494","6446","5468","5049","4704","6245","10589","11103","8290","6064","4795","3733","2921","1665","1484","985","534",227,47,8
"新竹縣","關西鎮","計","28441","732","918","1177","1699","1991","1895","1603","1836","1936","2151","2350","2317","1969","1601","956","1301","1075","622",248,60,4
"新竹縣","關西鎮","男","15260","400","478","614","909","1036","1035","895","937","1025","1193","1351","1365","1114","851","464","656","518","293",98,26,2
"新竹縣","關西鎮","女","13181","332","440","563","790","955","860","708","899","911","958","999","952","855","750","492","645","557","329",150,34,2
"新竹縣","新埔鎮","計","33078","1190","940","1070","1772","2287","2530","2307","2438","2286","2207","2495","2788","2526","1963","1156","1224","977","604",262,50,6
"新竹縣","新埔鎮","男","17627","625","512","554","910","1227","1385","1267","1386","1257","1212","1325","1518","1356","1061","583","586","451","282",110,19,1
"新竹縣","新埔鎮","女","15451","565","428","516","862","1060","1145","1040","1052","1029","995","1170","1270","1170","902","573","638","526","322",152,31,5
"新竹縣","竹東鎮","計","96379","4115","4673","4969","6395","7016","6783","6562","8103","7726","7553","7109","6853","5554","4275","2588","2580","1944","1066",408,94,13
"新竹縣","竹東鎮","男","48358","2119","2368","2587","3420","3623","3520","3424","4029","3752","3771","3599","3440","2752","2018","1234","1192","810","475",185,34,6
"新竹縣","竹東鎮","女","48021","1996","2305","2382","2975","3393","3263","3138","4074","3974","3782","3510","3413","2802","2257","1354","1388","1134","591",223,60,7
"新竹縣","湖口鄉","計","77669","3291","3872","3945","4897","5852","5765","5451","6861","6321","5803","5791","5687","4542","3339","1962","1772","1264","784",379,81,10
"新竹縣","湖口鄉","男","39310","1747","1982","2085","2543","3066","3100","2759","3396","3212","2872","2912","2837","2266","1633","860","794","562","446",197,38,3
"新竹縣","湖口鄉","女","38359","1544","1890","1860","2354","2786","2665","2692","3465","3109","2931","2879","2850","2276","1706","1102","978","702","338",182,43,7
