city,area,gender,total,total_age1,age_0,age_1,age_2,age_3,age_4,total_age2,age_5,age_6,age_7,age_8,age_9,total_age3,age_10,age_11,age_12,age_13,age_14,total_age4,age_15,age_16,age_17,age_18,age_19,total_age5,age_20,age_21,age_22,age_23,age_24,total_age6,age_25,age_26,age_27,age_28,age_29,total_age7,age_30,age_31,age_32,age_33,age_34,total_age8,age_35,age_36,age_37,age_38,age_39,total_age9,age_40,age_41,age_42,age_43,age_44,total_age10,age_45,age_46,age_47,age_48,age_49,total_age11,age_50,age_51,age_52,age_53,age_54,total_age12,age_55,age_56,age_57,age_58,age_59,total_age13,age_60,age_61,age_62,age_63,age_64,total_age14,age_65,age_66,age_67,age_68,age_69,total_age15,age_70,age_71,age_72,age_73,age_74,total_age16,age_75,age_76,age_77,age_78,age_79,total_age17,age_80,age_81,age_82,age_83,age_84,total_age18,age_85,age_86,age_87,age_88,age_89,total_age19,age_90,age_91,age_92,age_93,age_94,total_age20,age_95,age_96,age_97,age_98,age_99,total_age21
新竹市,總計,計,446701,24667,3818,4536,4940,5493,5880,27107,5417,6372,5710,4592,5016,25264,5121,5323,5009,4856,4955,26555,4824,5158,5197,5870,5506,27484,4978,5583,5738,5728,5457,27517,5492,5530,5388,5628,5479,29832,5834,5544,5563,6027,6864,41811,7463,7935,8606,8911,8896,40883,8740,8153,8893,7755,7342,34863,6850,6951,7017,7050,6995,31723,6791,6340,6172,6232,6188,29203,6150,6132,5794,5543,5584,25362,5661,4970,4890,4927,4914,20318,4557,4359,4419,3700,3283,11980,3227,2568,2519,1649,2017,9390,2039,2018,1842,1828,1663,6350,1575,1348,1257,1099,1071,3930,900,842,783,732,673,1908,527,472,370,296,243,483,192,121,77,57,36,71
新竹市,總計,男,220281,12664,1937,2337,2518,2807,3065,14057,2808,3282,2993,2396,2578,13283,2763,2827,2582,2552,2559,13794,2529,2720,2677,3021,2847,14265,2649,2891,2958,2954,2813,14166,2754,2887,2793,2958,2774,14749,2967,2790,2773,2937,3282,19977,3573,3846,4085,4256,4217,19832,4211,3927,4332,3799,3563,17137,3454,3377,3401,3513,3392,15762,3335,3190,3053,3084,3100,14348,3075,3014,2854,2701,2704,12020,2712,2435,2231,2338,2304,9469,2180,2035,2037,1731,1486,5406,1470,1195,1156,726,859,3923,874,862,779,735,673,2524,624,532,514,442,412,1711,363,355,356,331,306,936,242,228,194,156,116,224,88,56,37,25,18,34
新竹市,總計,女,226420,12003,1881,2199,2422,2686,2815,13050,2609,3090,2717,2196,2438,11981,2358,2496,2427,2304,2396,12761,2295,2438,2520,2849,2659,13219,2329,2692,2780,2774,2644,13351,2738,2643,2595,2670,2705,15083,2867,2754,2790,3090,3582,21834,3890,4089,4521,4655,4679,21051,4529,4226,4561,3956,3779,17726,3396,3574,3616,3537,3603,15961,3456,3150,3119,3148,3088,14855,3075,3118,2940,2842,2880,13342,2949,2535,2659,2589,2610,10849,2377,2324,2382,1969,1797,6574,1757,1373,1363,923,1158,5467,1165,1156,1063,1093,990,3826,951,816,743,657,659,2219,537,487,427,401,367,972,285,244,176,140,127,259,104,65,40,32,18,37
新竹市,東區,計,216512,12973,1904,2304,2591,2938,3236,15691,2991,3609,3300,2739,3052,14887,3070,3254,3112,2759,2692,13223,2554,2592,2541,2887,2649,12477,2328,2580,2612,2540,2417,12177,2460,2464,2334,2473,2446,13623,2655,2503,2568,2759,3138,20051,3497,3705,4167,4292,4390,20498,4365,4056,4493,3938,3646,16861,3343,3382,3422,3399,3315,14714,3230,2923,2829,2888,2844,13056,2807,2706,2580,2492,2471,11352,2519,2236,2215,2205,2177,9050,1954,1941,1992,1690,1473,5412,1466,1149,1154,745,898,4316,938,917,834,850,777,3060,755,656,627,511,511,1875,416,416,371,346,326,930,253,239,163,152,123,247,86,66,46,29,20,39
新竹市,東區,男,106335,6648,944,1168,1314,1509,1713,8144,1541,1859,1742,1427,1575,7855,1641,1761,1607,1442,1404,6793,1320,1339,1282,1476,1376,6477,1248,1318,1348,1327,1236,6258,1261,1272,1183,1315,1227,6643,1364,1233,1273,1325,1448,9403,1664,1779,1969,1976,2015,9653,1977,1900,2146,1907,1723,8200,1672,1634,1612,1677,1605,7352,1630,1500,1390,1401,1431,6497,1406,1322,1287,1253,1229,5408,1211,1097,1023,1053,1024,4217,942,938,917,770,650,2409,650,521,525,324,389,1776,393,374,335,339,335,1193,284,266,241,197,205,819,165,178,174,158,144,453,112,117,83,83,58,116,37,35,22,11,11,21
新竹市,東區,女,110177,6325,960,1136,1277,1429,1523,7547,1450,1750,1558,1312,1477,7032,1429,1493,1505,1317,1288,6430,1234,1253,1259,1411,1273,6000,1080,1262,1264,1213,1181,5919,1199,1192,1151,1158,1219,6980,1291,1270,1295,1434,1690,10648,1833,1926,2198,2316,2375,10845,2388,2156,2347,2031,1923,8661,1671,1748,1810,1722,1710,7362,1600,1423,1439,1487,1413,6559,1401,1384,1293,1239,1242,5944,1308,1139,1192,1152,1153,4833,1012,1003,1075,920,823,3003,816,628,629,421,509,2540,545,543,499,511,442,1867,471,390,386,314,306,1056,251,238,197,188,182,477,141,122,80,69,65,131,49,31,24,18,9,18
新竹市,北區,計,151845,7578,1180,1424,1494,1683,1797,8151,1633,1960,1798,1350,1410,7263,1487,1492,1348,1432,1504,8610,1436,1685,1737,1912,1840,9634,1734,1900,2017,2035,1948,9617,1910,1923,1910,1944,1930,10332,2045,1893,1944,2106,2344,14031,2552,2699,2840,2989,2951,13328,2821,2639,2963,2499,2406,11831,2280,2332,2387,2373,2459,11220,2339,2310,2222,2187,2162,10466,2140,2227,2103,1992,2004,9365,2098,1846,1775,1846,1800,7690,1741,1591,1693,1370,1295,4515,1211,983,959,604,758,3542,781,754,690,699,618,2286,551,492,446,431,366,1464,339,296,285,287,257,732,205,178,145,116,88,177,78,42,23,21,13,13
新竹市,北區,男,74169,3865,616,743,766,859,881,4212,850,1005,948,698,711,3808,829,769,679,761,770,4488,738,900,902,995,953,4948,908,968,1018,1045,1009,5002,961,1017,1002,1027,995,5119,1029,955,959,1023,1153,6607,1186,1287,1307,1405,1422,6469,1418,1241,1438,1213,1159,5756,1140,1096,1171,1170,1179,5472,1100,1121,1088,1090,1073,5045,1074,1080,1022,950,919,4344,995,887,772,864,826,3560,821,720,770,657,592,2023,551,455,440,267,310,1448,340,310,289,274,235,904,222,184,185,181,132,627,138,117,122,130,120,376,95,88,84,62,47,89,40,17,12,14,6,7
新竹市,北區,女,77676,3713,564,681,728,824,916,3939,783,955,850,652,699,3455,658,723,669,671,734,4122,698,785,835,917,887,4686,826,932,999,990,939,4615,949,906,908,917,935,5213,1016,938,985,1083,1191,7424,1366,1412,1533,1584,1529,6859,1403,1398,1525,1286,1247,6075,1140,1236,1216,1203,1280,5748,1239,1189,1134,1097,1089,5421,1066,1147,1081,1042,1085,5021,1103,959,1003,982,974,4130,920,871,923,713,703,2492,660,528,519,337,448,2094,441,444,401,425,383,1382,329,308,261,250,234,837,201,179,163,157,137,356,110,90,61,54,41,88,38,25,11,7,7,6
新竹市,香山區,計,78344,4116,734,808,855,872,847,3265,793,803,612,503,554,3114,564,577,549,665,759,4722,834,881,919,1071,1017,5373,916,1103,1109,1153,1092,5723,1122,1143,1144,1211,1103,5877,1134,1148,1051,1162,1382,7729,1414,1531,1599,1630,1555,7057,1554,1458,1437,1318,1290,6171,1227,1237,1208,1278,1221,5789,1222,1107,1121,1157,1182,5681,1203,1199,1111,1059,1109,4645,1044,888,900,876,937,3578,862,827,734,640,515,2053,550,436,406,300,361,1532,320,347,318,279,268,1004,269,200,184,157,194,591,145,130,127,99,90,246,69,55,62,28,32,59,28,13,8,7,3,19
