"city","area","gender","total","age_4","age_9","age_14","age_19","age_24","age_29","age_34","age_39","age_44","age_49","age_54","age_59","age_64","age_69","age_74","age_79","age_84","age_89","age_94","age_99","age_100"
"新竹市","東區","計",217098,12806,15866,14944,13029,12460,12222,13621,19843,20787,16799,14903,13094,11498,9234,5504,4330,3068,1843,951,258,38
"新竹市","東區","男",106647,6535,8269,7893,6717,6451,6293,6625,9359,9790,8141,7434,6502,5478,4313,2459,1776,1208,799,464,119,22
"新竹市","東區","女",110451,6271,7597,7051,6312,6009,5929,6996,10484,10997,8658,7469,6592,6020,4921,3045,2554,1860,1044,487,139,16
"新竹市","北區","計",152123,7483,8233,7228,8541,9603,9705,10156,13938,13549,11751,11408,10510,9392,7834,4559,3567,2302,1434,740,177,13
"新竹市","北區","男",74264,3860,4227,3786,4444,4930,5028,5068,6565,6584,5687,5537,5075,4373,3612,2055,1451,920,594,369,93,6
"新竹市","北區","女",77859,3623,4006,3442,4097,4673,4677,5088,7373,6965,6064,5871,5435,5019,4222,2504,2116,1382,840,371,84,7
"新竹市","香山區","計",78560,4045,3247,3124,4698,5404,5739,5753,7716,7119,6222,5865,5694,4695,3719,2054,1531,1015,595,246,60,19
"新竹市","香山區","男",39869,2095,1699,1617,2512,2851,2922,2935,3958,3722,3215,2971,2831,2293,1754,984,696,416,265,108,20,5
"新竹市","香山區","女",38691,1950,1548,1507,2186,2553,2817,2818,3758,3397,3007,2894,2863,2402,1965,1070,835,599,330,138,40,14
"新竹縣","竹北市","計",192375,13836,15926,13933,11550,10642,10129,12379,19817,21733,17365,12632,9846,7489,5657,3364,2782,1806,978,420,77,14
"新竹縣","竹北市","男",95738,7221,8185,7253,6077,5557,5206,6087,9323,10239,8712,6357,4925,3652,2643,1587,1266,808,407,202,27,4
"新竹縣","竹北市","女",96637,6615,7741,6680,5473,5085,4923,6292,10494,11494,8653,6275,4921,3837,3014,1777,1516,998,571,218,50,10
"新竹縣","關西鎮","計",28136,714,886,1131,1632,1986,1868,1566,1810,1899,2110,2354,2321,1978,1597,990,1262,1075,639,245,64,9
"新竹縣","關西鎮","男",15088,399,451,604,868,1026,1003,893,912,1008,1170,1351,1359,1120,867,495,626,514,294,99,26,3
"新竹縣","關西鎮","女",13048,315,435,527,764,960,865,673,898,891,940,1003,962,858,730,495,636,561,345,146,38,6
"新竹縣","新埔鎮","計",32926,1130,945,1022,1735,2259,2527,2269,2445,2267,2189,2478,2765,2593,2014,1188,1190,996,611,249,49,5
"新竹縣","新埔鎮","男",17515,582,515,521,896,1202,1386,1249,1382,1256,1174,1337,1506,1392,1076,608,580,440,283,112,17,1
"新竹縣","新埔鎮","女",15411,548,430,501,839,1057,1141,1020,1063,1011,1015,1141,1259,1201,938,580,610,556,328,137,32,4
"新竹縣","竹東鎮","計",97036,4160,4719,4905,6203,6956,6929,6593,8265,7797,7584,7136,6958,5613,4405,2714,2490,1979,1103,414,100,13
"新竹縣","竹東鎮","男",48745,2142,2400,2541,3300,3635,3604,3468,4121,3808,3728,3646,3501,2787,2087,1298,1139,839,474,182,39,6
"新竹縣","竹東鎮","女",48291,2018,2319,2364,2903,3321,3325,3125,4144,3989,3856,3490,3457,2826,2318,1416,1351,1140,629,232,61,7
"新竹縣","湖口鄉","計",77771,3183,3939,3936,4751,5757,5819,5375,6770,6494,5804,5802,5702,4620,3467,2035,1779,1307,758,385,82,6
"新竹縣","湖口鄉","男",39357,1670,2033,2068,2491,2997,3164,2712,3353,3286,2899,2890,2838,2333,1688,894,813,571,414,203,37,3
"新竹縣","湖口鄉","女",38414,1513,1906,1868,2260,2760,2655,2663,3417,3208,2905,2912,2864,2287,1779,1141,966,736,344,182,45,3
"新竹縣","橫山鄉","計",12819,383,395,426,668,902,895,732,839,838,880,1028,1056,946,794,551,599,465,251,129,37,5
"新竹縣","橫山鄉","男",6942,204,199,221,356,471,501,397,480,462,495,611,624,529,447,284,291,207,101,50,10,2
"新竹縣","橫山鄉","女",5877,179,196,205,312,431,394,335,359,376,385,417,432,417,347,267,308,258,150,79,27,3
"新竹縣","新豐鄉","計",57302,2596,3410,3105,3537,4173,4233,3838,5225,5090,4333,4096,4027,3204,2378,1350,1157,792,500,219,35,4
"新竹縣","新豐鄉","男",29364,1332,1772,1639,1870,2188,2319,1995,2602,2544,2261,2077,2091,1602,1195,645,513,370,234,96,18,1
"新竹縣","新豐鄉","女",27938,1264,1638,1466,1667,1985,1914,1843,2623,2546,2072,2019,1936,1602,1183,705,644,422,266,123,17,3
