city,area,gender,total,total_age1,age_0,age_1,age_2,age_3,age_4,total_age2,age_5,age_6,age_7,age_8,age_9,total_age3,age_10,age_11,age_12,age_13,age_14,total_age4,age_15,age_16,age_17,age_18,age_19,total_age5,age_20,age_21,age_22,age_23,age_24,total_age6,age_25,age_26,age_27,age_28,age_29,total_age7,age_30,age_31,age_32,age_33,age_34,total_age8,age35,age_36,age_37,age_38,age_39,total_age9,age_40,age_41,age_42,age_43,age_44,total_age10,age45,age_46,age_47,age_48,age_49,total_age11,age_50,age_51,age_52,age_53,age_54,total_age12,age55,age_56,age_57,age_58,age_59,total_age13,age_60,age_61,age_62,age_63,age_64,total_age14,age65,age_66,age_67,age_68,age_69,total_age15,age_70,age_71,age_72,age_73,age_74,total_age16,age75,age_76,age_77,age_78,age_79,total_age17,age_80,age_81,age_82,age_83,age_84,total_age18,age85,age_86,age_87,age_88,age_89,total_age19,age_90,age_91,age_92,age_93,age_94,total_age20,age95,age_96,age_97,age_98,age_99,total_age21
新竹市,總  計,計,"446,210","24,858","3,815","4,565","5,038","5,540","5,900","27,027","5,379","6,448","5,589","4,450","5,161","25,221","5,082","5,244","5,109","4,806","4,980","26,698","4,843","5,221","5,268","5,935","5,431","27,494","4,914","5,678","5,761","5,675","5,466","27,486","5,493","5,497","5,405","5,696","5,395","30,028","5,853","5,554","5,478","6,097","7,046","41,973","7,392","8,086","8,708","8,883","8,904","40,558","8,717","8,036","8,982","7,577","7,246","34,901","6,810","6,970","7,061","7,089","6,971","31,623","6,679","6,345","6,210","6,260","6,129","29,172","6,178","6,043","5,740","5,634","5,577","25,193","5,508","4,912","5,064","4,888","4,821","20,266","4,586","4,305","4,456","3,587","3,332","11,645","2,985","2,586","2,318","1,705","2,051","9,400","2,053","2,005","1,864","1,805","1,673","6,258","1,492","1,350","1,248","1,151","1,017","3,943",911,868,765,727,672,"1,922",538,465,376,312,231,475,184,119,83,51,38,69
新竹市,總  計,男,"220,055","12,765","1,907","2,364","2,550","2,862","3,082","14,012","2,778","3,319","2,938","2,340","2,637","13,264","2,778","2,757","2,617","2,507","2,605","13,865","2,519","2,762","2,711","3,055","2,818","14,263","2,576","2,969","2,975","2,913","2,830","14,173","2,750","2,856","2,825","2,972","2,770","14,802","2,961","2,807","2,709","2,956","3,369","20,047","3,519","3,927","4,172","4,233","4,196","19,702","4,226","3,854","4,404","3,662","3,556","17,119","3,397","3,395","3,429","3,533","3,365","15,756","3,283","3,201","3,072","3,112","3,088","14,319","3,070","3,008","2,792","2,753","2,696","11,951","2,670","2,339","2,353","2,312","2,277","9,441","2,165","2,006","2,051","1,698","1,521","5,246","1,346","1,210","1,076",732,882,"3,893",872,852,789,711,669,"2,493",602,533,502,456,400,"1,735",380,369,340,343,303,951,257,220,207,157,110,224,83,62,40,24,15,34
新竹市,總  計,女,"226,155","12,093","1,908","2,201","2,488","2,678","2,818","13,015","2,601","3,129","2,651","2,110","2,524","11,957","2,304","2,487","2,492","2,299","2,375","12,833","2,324","2,459","2,557","2,880","2,613","13,231","2,338","2,709","2,786","2,762","2,636","13,313","2,743","2,641","2,580","2,724","2,625","15,226","2,892","2,747","2,769","3,141","3,677","21,926","3,873","4,159","4,536","4,650","4,708","20,856","4,491","4,182","4,578","3,915","3,690","17,782","3,413","3,575","3,632","3,556","3,606","15,867","3,396","3,144","3,138","3,148","3,041","14,853","3,108","3,035","2,948","2,881","2,881","13,242","2,838","2,573","2,711","2,576","2,544","10,825","2,421","2,299","2,405","1,889","1,811","6,399","1,639","1,376","1,242",973,"1,169","5,507","1,181","1,153","1,075","1,094","1,004","3,765",890,817,746,695,617,"2,208",531,499,425,384,369,971,281,245,169,155,121,251,101,57,43,27,23,35
新竹市,東區,計,"216,125","13,037","1,909","2,308","2,682","2,964","3,174","15,658","2,996","3,642","3,250","2,635","3,135","14,781","3,017","3,219","3,110","2,731","2,704","13,292","2,534","2,658","2,567","2,918","2,615","12,452","2,287","2,611","2,611","2,514","2,429","12,192","2,465","2,427","2,381","2,496","2,423","13,701","2,670","2,514","2,504","2,804","3,209","20,115","3,486","3,763","4,164","4,351","4,351","20,303","4,341","4,015","4,510","3,861","3,576","16,877","3,347","3,373","3,448","3,401","3,308","14,687","3,193","2,910","2,831","2,891","2,862","13,005","2,787","2,676","2,530","2,539","2,473","11,276","2,479","2,164","2,314","2,211","2,108","9,029","1,997","1,902","2,016","1,618","1,496","5,268","1,364","1,168","1,078",759,899,"4,338",960,905,843,859,771,"3,013",719,647,635,527,485,"1,886",426,422,376,329,333,935,263,229,170,158,115,240,84,66,47,24,19,40
新竹市,東區,男,"106,159","6,696",928,"1,180","1,370","1,538","1,680","8,115","1,538","1,882","1,716","1,373","1,606","7,804","1,645","1,727","1,588","1,411","1,433","6,831","1,291","1,379","1,302","1,486","1,373","6,455","1,198","1,338","1,366","1,302","1,251","6,282","1,254","1,245","1,215","1,322","1,246","6,650","1,348","1,253","1,229","1,324","1,496","9,420","1,648","1,811","1,992","2,007","1,962","9,606","1,984","1,870","2,181","1,858","1,713","8,203","1,655","1,632","1,627","1,686","1,603","7,339","1,610","1,483","1,396","1,404","1,446","6,485","1,396","1,327","1,254","1,270","1,238","5,357","1,185","1,048","1,077","1,046","1,001","4,203",950,923,917,754,659,"2,347",606,524,501,327,389,"1,758",395,362,341,341,319,"1,179",284,259,238,206,192,835,179,183,166,163,144,456,121,109,92,86,48,117,39,38,20,11,9,21
新竹市,東區,女,"109,966","6,341",981,"1,128","1,312","1,426","1,494","7,543","1,458","1,760","1,534","1,262","1,529","6,977","1,372","1,492","1,522","1,320","1,271","6,461","1,243","1,279","1,265","1,432","1,242","5,997","1,089","1,273","1,245","1,212","1,178","5,910","1,211","1,182","1,166","1,174","1,177","7,051","1,322","1,261","1,275","1,480","1,713","10,695","1,838","1,952","2,172","2,344","2,389","10,697","2,357","2,145","2,329","2,003","1,863","8,674","1,692","1,741","1,821","1,715","1,705","7,348","1,583","1,427","1,435","1,487","1,416","6,520","1,391","1,349","1,276","1,269","1,235","5,919","1,294","1,116","1,237","1,165","1,107","4,826","1,047",979,"1,099",864,837,"2,921",758,644,577,432,510,"2,580",565,543,502,518,452,"1,834",435,388,397,321,293,"1,051",247,239,210,166,189,479,142,120,78,72,67,123,45,28,27,13,10,19
新竹市,北區,計,"151,749","7,634","1,154","1,455","1,476","1,726","1,823","8,149","1,634","2,008","1,732","1,318","1,457","7,282","1,507","1,454","1,418","1,418","1,485","8,674","1,483","1,669","1,782","1,917","1,823","9,654","1,711","1,919","2,048","2,026","1,950","9,561","1,879","1,923","1,877","1,997","1,885","10,419","2,029","1,926","1,913","2,118","2,433","14,091","2,509","2,752","2,886","2,957","2,987","13,205","2,809","2,587","3,010","2,419","2,380","11,849","2,254","2,372","2,393","2,379","2,451","11,177","2,325","2,282","2,259","2,236","2,075","10,517","2,199","2,195","2,085","2,011","2,027","9,284","2,019","1,845","1,827","1,817","1,776","7,672","1,727","1,606","1,679","1,359","1,301","4,398","1,125",983,872,625,793,"3,524",771,750,706,680,617,"2,259",527,504,429,452,347,"1,473",338,313,275,287,260,736,205,179,146,123,83,178,76,40,28,21,13,13
新竹市,北區,男,"74,136","3,894",596,761,746,880,911,"4,224",838,"1,035",913,702,736,"3,807",837,733,721,758,758,"4,511",769,896,911,"1,000",935,"4,967",900,991,"1,035","1,036","1,005","4,996",949,"1,023","1,004","1,032",988,"5,147","1,025",966,927,"1,046","1,183","6,634","1,160","1,313","1,327","1,397","1,437","6,402","1,425","1,213","1,455","1,156","1,153","5,756","1,116","1,122","1,169","1,171","1,178","5,465","1,093","1,115","1,101","1,126","1,030","5,062","1,092","1,088",984,957,941,"4,315",978,844,821,851,821,"3,543",804,717,763,659,600,"1,964",510,465,395,264,330,"1,436",340,303,297,256,240,896,209,190,183,183,131,637,137,125,121,134,120,382,98,88,87,62,47,91,36,19,18,13,5,7
新竹市,北區,女,"77,613","3,740",558,694,730,846,912,"3,925",796,973,819,616,721,"3,475",670,721,697,660,727,"4,163",714,773,871,917,888,"4,687",811,928,"1,013",990,945,"4,565",930,900,873,965,897,"5,272","1,004",960,986,"1,072","1,250","7,457","1,349","1,439","1,559","1,560","1,550","6,803","1,384","1,374","1,555","1,263","1,227","6,093","1,138","1,250","1,224","1,208","1,273","5,712","1,232","1,167","1,158","1,110","1,045","5,455","1,107","1,107","1,101","1,054","1,086","4,969","1,041","1,001","1,006",966,955,"4,129",923,889,916,700,701,"2,434",615,518,477,361,463,"2,088",431,447,409,424,377,"1,363",318,314,246,269,216,836,201,188,154,153,140,354,107,91,59,61,36,87,40,21,10,8,8,6
新竹市,香山區,計,"78,336","4,187",752,802,880,850,903,"3,220",749,798,607,497,569,"3,158",558,571,581,657,791,"4,732",826,894,919,"1,100",993,"5,388",916,"1,148","1,102","1,135","1,087","5,733","1,149","1,147","1,147","1,203","1,087","5,908","1,154","1,114","1,061","1,175","1,404","7,767","1,397","1,571","1,658","1,575","1,566","7,050","1,567","1,434","1,462","1,297","1,290","6,175","1,209","1,225","1,220","1,309","1,212","5,759","1,161","1,153","1,120","1,133","1,192","5,650","1,192","1,172","1,125","1,084","1,077","4,633","1,010",903,923,860,937,"3,565",862,797,761,610,535,"1,979",496,435,368,321,359,"1,538",322,350,315,266,285,986,246,199,184,172,185,584,147,133,114,111,79,251,70,57,60,31,33,57,24,13,8,6,6,16
新竹市,香山區,男,"39,760","2,175",383,423,434,444,491,"1,673",402,402,309,265,295,"1,653",296,297,308,338,414,"2,523",459,487,498,569,510,"2,841",478,640,574,575,574,"2,895",547,588,606,618,536,"3,005",588,588,553,586,690,"3,993",711,803,853,829,797,"3,694",817,771,768,648,690,"3,160",626,641,633,676,584,"2,952",580,603,575,582,612,"2,772",582,593,554,526,517,"2,279",507,447,455,415,455,"1,695",411,366,371,285,262,935,230,221,180,141,163,699,137,187,151,114,110,418,109,84,81,67,77,263,64,61,53,46,39,113,38,23,28,9,15,16,8,5,2,-,1,6
新竹市,香山區,女,"38,576","2,012",369,379,446,406,412,"1,547",347,396,298,232,274,"1,505",262,274,273,319,377,"2,209",367,407,421,531,483,"2,547",438,508,528,560,513,"2,838",602,559,541,585,551,"2,903",566,526,508,589,714,"3,774",686,768,805,746,769,"3,356",750,663,694,649,600,"3,015",583,584,587,633,628,"2,807",581,550,545,551,580,"2,878",610,579,571,558,560,"2,354",503,456,468,445,482,"1,870",451,431,390,325,273,"1,044",266,214,188,180,196,839,185,163,164,152,175,568,137,115,103,105,108,321,83,72,61,65,40,138,32,34,32,22,18,41,16,8,6,6,5,10
