"city","area","gender","total","age_4","age_9","age_14","age_19","age_24","age_29","age_34","age_39","age_44","age_49","age_54","age_59","age_64","age_69","age_74","age_79","age_84","age_89","age_94","age_99","age_100"
"10018010","東區","計","217,244","12,771","15,894","14,907","13,012","12,441","12,252","13,555","19,819","20,853","16,831","14,934","13,121","11,530","9,262","5,547","4,342","3,075","1,838","964",257,39
"10018010","東區","男","106,733","6,501","8,294","7,865","6,734","6,445","6,280","6,620","9,360","9,821","8,168","7,437","6,515","5,497","4,332","2,474","1,779","1,203","800","468",117,23
"10018010","東區","女","110,511","6,270","7,600","7,042","6,278","5,996","5,972","6,935","10,459","11,032","8,663","7,497","6,606","6,033","4,930","3,073","2,563","1,872","1,038","496",140,16
"10018020","北區","計","152,163","7,448","8,237","7,233","8,509","9,595","9,708","10,115","13,857","13,672","11,739","11,422","10,525","9,401","7,853","4,606","3,567","2,313","1,426","745",179,13
"10018020","北區","男","74,291","3,846","4,228","3,773","4,419","4,923","5,051","5,056","6,531","6,646","5,688","5,555","5,080","4,367","3,611","2,083","1,457","919","585","371",96,6
"10018020","北區","女","77,872","3,602","4,009","3,460","4,090","4,672","4,657","5,059","7,326","7,026","6,051","5,867","5,445","5,034","4,242","2,523","2,110","1,394","841","374",83,7
"10018030","香山區","計","78,545","4,007","3,221","3,135","4,692","5,394","5,748","5,721","7,688","7,135","6,216","5,860","5,731","4,680","3,771","2,065","1,535","1,014","605","246",63,18
"10018030","香山區","男","39,861","2,074","1,692","1,626","2,510","2,835","2,931","2,930","3,945","3,720","3,221","2,963","2,853","2,273","1,788","985","695","420","265","108",22,5
"10018030","香山區","女","38,684","1,933","1,529","1,509","2,182","2,559","2,817","2,791","3,743","3,415","2,995","2,897","2,878","2,407","1,983","1,080","840","594","340","138",41,13
"新竹縣","竹北市","計","193146","13853","15939","14045","11555","10673","10174","12427","19845","21817","17489","12733","9890","7539","5672","3392","2793","1815","982","419",79,15
"新竹縣","竹北市","男","96139","7233","8201","7306","6078","5585","5224","6126","9342","10251","8780","6409","4931","3699","2646","1593","1278","810","412","202",29,4
"新竹縣","竹北市","女","97007","6620","7738","6739","5477","5088","4950","6301","10503","11566","8709","6324","4959","3840","3026","1799","1515","1005","570","217",50,11
"新竹縣","關西鎮","計","28103","715","881","1127","1628","1970","1877","1568","1799","1889","2107","2362","2311","1983","1604","988","1255","1077","644","241",67,10
"新竹縣","關西鎮","男","15079","401","446","600","864","1019","1006","897","910","1006","1164","1356","1357","1126","871","493","624","516","294","100",26,3
"新竹縣","關西鎮","女","13024","314","435","527","764","951","871","671","889","883","943","1006","954","857","733","495","631","561","350","141",41,7
"新竹縣","新埔鎮","計","32912","1126","940","1026","1733","2249","2532","2249","2437","2281","2185","2471","2768","2593","2015","1207","1188","993","615","249",50,5
"新竹縣","新埔鎮","男","17508","579","512","524","894","1199","1389","1238","1377","1260","1171","1343","1499","1401","1066","626","577","441","283","110",18,1
"新竹縣","新埔鎮","女","15404","547","428","502","839","1050","1143","1011","1060","1021","1014","1128","1269","1192","949","581","611","552","332","139",32,4
"新竹縣","竹東鎮","計","97157","4181","4711","4899","6164","6937","6960","6608","8263","7844","7558","7164","6973","5642","4400","2729","2491","1991","1111","417",100,14
"新竹縣","竹東鎮","男","48801","2155","2391","2543","3276","3630","3614","3482","4137","3822","3723","3660","3504","2791","2083","1308","1142","839","475","180",39,7
"新竹縣","竹東鎮","女","48356","2026","2320","2356","2888","3307","3346","3126","4126","4022","3835","3504","3469","2851","2317","1421","1349","1152","636","237",61,7
"新竹縣","湖口鄉","計","77785","3156","3949","3933","4731","5717","5839","5406","6731","6515","5805","5805","5722","4629","3466","2046","1788","1311","758","389",83,6
"新竹縣","湖口鄉","男","39376","1651","2033","2069","2486","2978","3172","2735","3340","3294","2907","2889","2843","2344","1688","907","811","570","415","203",38,3
"新竹縣","湖口鄉","女","38409","1505","1916","1864","2245","2739","2667","2671","3391","3221","2898","2916","2879","2285","1778","1139","977","741","343","186",45,3
"新竹縣","橫山鄉","計","12811","381","395","422","678","893","894","733","845","828","876","1035","1052","949","792","545","595","474","255","127",37,5
"新竹縣","橫山鄉","男","6935","205","197","216","365","466","502","396","480","457","490","624","612","533","447","282","288","211","103","49",10,2
"新竹縣","橫山鄉","女","5876","176","198","206","313","427","392","337","365","371","386","411","440","416","345","263","307","263","152","78",27,3
"新竹縣","新豐鄉","計","57297","2580","3403","3079","3540","4163","4215","3834","5209","5106","4358","4105","4022","3219","2377","1375","1144","806","504","218",36,4
"新竹縣","新豐鄉","男","29362","1322","1769","1627","1864","2190","2315","2000","2589","2558","2269","2075","2091","1614","1190","655","512","368","237","98",18,1
"新竹縣","新豐鄉","女","27935","1258","1634","1452","1676","1973","1900","1834","2620","2548","2089","2030","1931","1605","1187","720","632","438","267","120",18,3
"新竹縣","芎林鄉","計","19933","671","614","622","1181","1572","1555","1330","1416","1356","1445","1593","1665","1406","1134","675","674","535","321","145",20,3
"新竹縣","芎林鄉","男","10535","375","310","334","612","805","837","740","765","666","773","854","906","774","598","351","362","261","146","60",5,1
"新竹縣","芎林鄉","女","9398","296","304","288","569","767","718","590","651","690","672","739","759","632","536","324","312","274","175","85",15,2
"新竹縣","寶山鄉","計","14597","493","365","336","807","1153","1178","994","1090","1066","1142","1357","1350","1026","739","391","443","341","207","99",19,1
"新竹縣","寶山鄉","男","7930","279","202","173","411","600","657","543","597","582","591","763","768","610","398","230","227","168","90","32",9,0
"新竹縣","寶山鄉","女","6667","214","163","163","396","553","521","451","493","484","551","594","582","416","341","161","216","173","117","67",10,1
"新竹縣","北埔鄉","計","9204","265","269","284","525","683","658","566","563","596","664","748","780","646","521","363","433","340","204","68",25,3
"新竹縣","北埔鄉","男","5006","134","150","153","280","349","346","325","302","332","375","424","482","391","276","176","227","165","86","25",8,0
"新竹縣","北埔鄉","女","4198","131","119","131","245","334","312","241","261","264","289","324","298","255","245","187","206","175","118","43",17,3
"新竹縣","峨眉鄉","計","5505","200","107","93","239","335","367","313","330","302","373","440","484","473","374","251","318","255","162","69",18,2
"新竹縣","峨眉鄉","男","3029","105","51","56","139","181","187","164","172","161","200","260","300","301","226","139","156","129","72","20",8,2
"新竹縣","峨眉鄉","女","2476","95","56","37","100","154","180","149","158","141","173","180","184","172","148","112","162","126","90","49",10,0
"新竹縣","尖石鄉","計","9616","684","580","565","727","820","757","656","778","742","667","655","606","534","347","194","143","89","51","14",5,2
"新竹縣","尖石鄉","男","5031","361","285","303","356","431","392","364","416","414","362","340","322","279","165","111","70","36","19","3",1,1
"新竹縣","尖石鄉","女","4585","323","295","262","371","389","365","292","362","328","305","315","284","255","182","83","73","53","32","11",4,1
"新竹縣","五峰鄉","計","4608","251","189","159","259","321","328","293","383","381","329","419","400","352","251","115","95","53","21","8",1,0
"新竹縣","五峰鄉","男","2491","130","92","83","128","175","179","155","219","232","185","230","212","179","149","57","47","26","8","5",0,0
"新竹縣","五峰鄉","女","2117","121","97","76","131","146","149","138","164","149","144","189","188","173","102","58","48","27","13","3",1,0
